LOCATION,MEASURE,TIME,Value
AUS,AGRWTH,1970,4.941176
AUS,AGRWTH,1971,4.26009
AUS,AGRWTH,1972,4.946237
AUS,AGRWTH,1973,8.811476
AUS,AGRWTH,1974,15.44256
AUS,AGRWTH,1975,14.68189
AUS,AGRWTH,1976,11.52205
AUS,AGRWTH,1977,10.20408
AUS,AGRWTH,1978,8.101851
AUS,AGRWTH,1979,14.77516
AUS,AGRWTH,1980,14.08582
AUS,AGRWTH,1981,8.421913
AUS,AGRWTH,1982,9.049774
AUS,AGRWTH,1983,7.952974
AUS,AGRWTH,1984,5.445228
AUS,AGRWTH,1985,6.622114
AUS,AGRWTH,1986,5.527066
AUS,AGRWTH,1987,7.343412
AUS,AGRWTH,1988,7.344064
AUS,AGRWTH,1989,6.747891
AUS,AGRWTH,1990,6.057946
AUS,AGRWTH,1991,1.324503
AUS,AGRWTH,1992,1.633987
AUS,AGRWTH,1993,1.889068
AUS,AGRWTH,1994,0.8284023
AUS,AGRWTH,1995,3.677621
AUS,AGRWTH,1996,0.7924528
AUS,AGRWTH,1997,1.272931
AUS,AGRWTH,1998,0.6654344
AUS,AGRWTH,1999,0.6243114
AUS,AGRWTH,2000,7.153285
AUS,AGRWTH,2001,3.099455
AUS,AGRWTH,2002,0.16518
AUS,AGRWTH,2003,0.5277045
AUS,AGRWTH,2004,3.937008
AUS,AGRWTH,2005,5.997475
AUS,AGRWTH,2006,7.921382
AUS,AGRWTH,2007,2.317881
AUS,AGRWTH,2008,8.306365
AUS,AGRWTH,2009,-5.428287
AUS,AGRWTH,2010,1.895735
AUS,AGRWTH,2011,3.385013
AUS,AGRWTH,2012,-0.4748813
AUS,AGRWTH,2013,1.079859
AUS,AGRWTH,2014,3.10559
AUS,AGRWTH,2015,0.2650602
AUS,AGRWTH,2016,-0.5767844
AUS,IDX2010,1969,10.98191
AUS,IDX2010,1970,11.52455
AUS,IDX2010,1971,12.0155
AUS,IDX2010,1972,12.60982
AUS,IDX2010,1973,13.72093
AUS,IDX2010,1974,15.83979
AUS,IDX2010,1975,18.16537
AUS,IDX2010,1976,20.2584
AUS,IDX2010,1977,22.32558
AUS,IDX2010,1978,24.13437
AUS,IDX2010,1979,27.70026
AUS,IDX2010,1980,31.60207
AUS,IDX2010,1981,34.26357
AUS,IDX2010,1982,37.36434
AUS,IDX2010,1983,40.33592
AUS,IDX2010,1984,42.5323
AUS,IDX2010,1985,45.34884
AUS,IDX2010,1986,47.8553
AUS,IDX2010,1987,51.36951
AUS,IDX2010,1988,55.14212
AUS,IDX2010,1989,58.86305
AUS,IDX2010,1990,62.42894
AUS,IDX2010,1991,63.25581
AUS,IDX2010,1992,64.28941
AUS,IDX2010,1993,65.50388
AUS,IDX2010,1994,66.04651
AUS,IDX2010,1995,68.47545
AUS,IDX2010,1996,69.01809
AUS,IDX2010,1997,69.89664
AUS,IDX2010,1998,70.36176
AUS,IDX2010,1999,70.80103
AUS,IDX2010,2000,75.86563
AUS,IDX2010,2001,78.21706
AUS,IDX2010,2002,78.34625
AUS,IDX2010,2003,78.75969
AUS,IDX2010,2004,81.86047
AUS,IDX2010,2005,86.77003
AUS,IDX2010,2006,93.64341
AUS,IDX2010,2007,95.81396
AUS,IDX2010,2008,103.7726
AUS,IDX2010,2009,98.13953
AUS,IDX2010,2010,100
AUS,IDX2010,2011,103.385
AUS,IDX2010,2012,102.8941
AUS,IDX2010,2013,104.0052
AUS,IDX2010,2014,107.2351
AUS,IDX2010,2015,107.5194
AUS,IDX2010,2016,106.8992
AUT,AGRWTH,2000,3.076993
AUT,AGRWTH,2001,0.2056267
AUT,AGRWTH,2002,-1.156609
AUT,AGRWTH,2003,-0.1509861
AUT,AGRWTH,2004,1.852377
AUT,AGRWTH,2005,3.31261
AUT,AGRWTH,2006,1.472966
AUT,AGRWTH,2007,2.239334
AUT,AGRWTH,2008,2.493291
AUT,AGRWTH,2009,-1.697779
AUT,AGRWTH,2010,3.084723
AUT,AGRWTH,2011,3.875969
AUT,AGRWTH,2012,1.13144
AUT,AGRWTH,2013,-0.2142347
AUT,AGRWTH,2014,-0.4850509
AUT,AGRWTH,2015,-0.8369014
AUT,AGRWTH,2016,-1.033247
AUT,IDX2010,2000,89.18063
AUT,IDX2010,2001,89.36401
AUT,IDX2010,2002,88.33041
AUT,IDX2010,2003,88.19705
AUT,IDX2010,2004,89.83079
AUT,IDX2010,2005,92.80653
AUT,IDX2010,2006,94.17355
AUT,IDX2010,2007,96.2824
AUT,IDX2010,2008,98.68301
AUT,IDX2010,2009,97.00758
AUT,IDX2010,2010,100
AUT,IDX2010,2011,103.876
AUT,IDX2010,2012,105.0513
AUT,IDX2010,2013,104.8262
AUT,IDX2010,2014,104.3177
AUT,IDX2010,2015,103.4447
AUT,IDX2010,2016,102.3759
BEL,AGRWTH,2002,-0.3511596
BEL,AGRWTH,2003,-0.4376115
BEL,AGRWTH,2004,4.254485
BEL,AGRWTH,2005,6.537498
BEL,AGRWTH,2006,6.019668
BEL,AGRWTH,2007,3.251195
BEL,AGRWTH,2008,5.725953
BEL,AGRWTH,2009,-4.188482
BEL,AGRWTH,2010,7.489026
BEL,AGRWTH,2011,8.4007
BEL,AGRWTH,2012,3.413547
BEL,AGRWTH,2013,-1.003643
BEL,AGRWTH,2014,-2.575849
BEL,AGRWTH,2015,-6.474987
BEL,AGRWTH,2016,-1.788511
BEL,IDX2010,2001,76.12968
BEL,IDX2010,2002,75.86235
BEL,IDX2010,2003,75.53036
BEL,IDX2010,2004,78.74379
BEL,IDX2010,2005,83.89167
BEL,IDX2010,2006,88.94167
BEL,IDX2010,2007,91.83334
BEL,IDX2010,2008,97.09167
BEL,IDX2010,2009,93.025
BEL,IDX2010,2010,99.99167
BEL,IDX2010,2011,108.3917
BEL,IDX2010,2012,112.0917
BEL,IDX2010,2013,110.9667
BEL,IDX2010,2014,108.1083
BEL,IDX2010,2015,101.1083
BEL,IDX2010,2016,99.3
CAN,AGRWTH,1957,2.092609
CAN,AGRWTH,1958,0.3924989
CAN,AGRWTH,1959,0.6516073
CAN,AGRWTH,1960,0.3021148
CAN,AGRWTH,1961,0.172117
CAN,AGRWTH,1962,1.417526
CAN,AGRWTH,1963,0.9741635
CAN,AGRWTH,1964,0.7130873
CAN,AGRWTH,1965,1.582674
CAN,AGRWTH,1966,2.788028
CAN,AGRWTH,1967,2.193857
CAN,AGRWTH,1968,1.75644
CAN,AGRWTH,1969,3.75911
CAN,AGRWTH,1970,2.439926
CAN,AGRWTH,1971,1.984843
CAN,AGRWTH,1972,4.52937
CAN,AGRWTH,1973,11.10359
CAN,AGRWTH,1974,18.98233
CAN,AGRWTH,1975,11.34443
CAN,AGRWTH,1976,5.105796
CAN,AGRWTH,1977,7.833698
CAN,AGRWTH,1978,9.232955
CAN,AGRWTH,1979,14.54579
CAN,AGRWTH,1980,13.37982
CAN,AGRWTH,1981,10.15591
CAN,AGRWTH,1982,6.700428
CAN,AGRWTH,1983,3.468419
CAN,AGRWTH,1984,4.528346
CAN,AGRWTH,1985,2.756836
CAN,AGRWTH,1986,0.8650898
CAN,AGRWTH,1987,2.790142
CAN,AGRWTH,1988,4.319814
CAN,AGRWTH,1989,2.024906
CAN,AGRWTH,1990,-0.04221781
CAN,AGRWTH,1991,-1.018855
CAN,AGRWTH,1992,0.4732608
CAN,AGRWTH,1993,3.591616
CAN,AGRWTH,1994,6.047516
CAN,AGRWTH,1995,7.460607
CAN,AGRWTH,1996,0.4389027
CAN,AGRWTH,1997,0.6852716
CAN,AGRWTH,1998,0.3846913
CAN,AGRWTH,1999,1.788346
CAN,AGRWTH,2000,4.266821
CAN,AGRWTH,2001,0.9721322
CAN,AGRWTH,2002,0.06418485
CAN,AGRWTH,2003,-1.21873
CAN,AGRWTH,2004,3.200371
CAN,AGRWTH,2005,1.644944
CAN,AGRWTH,2006,2.272727
CAN,AGRWTH,2007,1.53048
CAN,AGRWTH,2008,4.351899
CAN,AGRWTH,2009,-3.501183
CAN,AGRWTH,2010,1.496955
CAN,AGRWTH,2011,6.941088
CAN,AGRWTH,2012,1.098644
CAN,AGRWTH,2013,0.4084778
CAN,AGRWTH,2014,2.486951
CAN,AGRWTH,2015,-0.8388256
CAN,AGRWTH,2016,-0.1963746
CAN,IDX2010,1956,15.86542
CAN,IDX2010,1957,16.19742
CAN,IDX2010,1958,16.26099
CAN,IDX2010,1959,16.36695
CAN,IDX2010,1960,16.4164
CAN,IDX2010,1961,16.44465
CAN,IDX2010,1962,16.67776
CAN,IDX2010,1963,16.84023
CAN,IDX2010,1964,16.96031
CAN,IDX2010,1965,17.22874
CAN,IDX2010,1966,17.70908
CAN,IDX2010,1967,18.09759
CAN,IDX2010,1968,18.41547
CAN,IDX2010,1969,19.10773
CAN,IDX2010,1970,19.57394
CAN,IDX2010,1971,19.96245
CAN,IDX2010,1972,20.86662
CAN,IDX2010,1973,23.18357
CAN,IDX2010,1974,27.58435
CAN,IDX2010,1975,30.71364
CAN,IDX2010,1976,32.28181
CAN,IDX2010,1977,34.81067
CAN,IDX2010,1978,38.02473
CAN,IDX2010,1979,43.55572
CAN,IDX2010,1980,49.3834
CAN,IDX2010,1981,54.39874
CAN,IDX2010,1982,58.04369
CAN,IDX2010,1983,60.05688
CAN,IDX2010,1984,62.77647
CAN,IDX2010,1985,64.50711
CAN,IDX2010,1986,65.06516
CAN,IDX2010,1987,66.88057
CAN,IDX2010,1988,69.76968
CAN,IDX2010,1989,71.18246
CAN,IDX2010,1990,71.1524
CAN,IDX2010,1991,70.42747
CAN,IDX2010,1992,70.76077
CAN,IDX2010,1993,73.30222
CAN,IDX2010,1994,77.73519
CAN,IDX2010,1995,83.53471
CAN,IDX2010,1996,83.90134
CAN,IDX2010,1997,84.4763
CAN,IDX2010,1998,84.80127
CAN,IDX2010,1999,86.31781
CAN,IDX2010,2000,90.00083
CAN,IDX2010,2001,90.87576
CAN,IDX2010,2002,90.93409
CAN,IDX2010,2003,89.82585
