LOCATION,TIME,Value
AUS,1960,0.700946
AUS,1961,0.701324
AUS,1962,0.68799
AUS,1963,0.698321
AUS,1964,0.708346
AUS,1965,0.705945
AUS,1966,0.70894
AUS,1967,0.711321
AUS,1968,0.70353
AUS,1969,0.70688
AUS,1970,0.684104
AUS,1971,0.693022
AUS,1972,0.711627
AUS,1973,0.763348
AUS,1974,0.823389
AUS,1975,0.859681
AUS,1976,0.920686
AUS,1977,0.950946
AUS,1978,0.961338
AUS,1979,0.973982
AUS,1980,0.981371
AUS,1981,0.986507
AUS,1982,1.040496
AUS,1983,1.085932
AUS,1984,1.112885
AUS,1985,1.137727
AUS,1986,1.190447
AUS,1987,1.241136
AUS,1988,1.29859
AUS,1989,1.348194
AUS,1990,1.364986
AUS,1991,1.348081
AUS,1992,1.327669
AUS,1993,1.311715
AUS,1994,1.300958
AUS,1995,1.307013
AUS,1996,1.310166
AUS,1997,1.307245
AUS,1998,1.29917
AUS,1999,1.29695
AUS,2000,1.307971
AUS,2001,1.325852
AUS,2002,1.33649
AUS,2003,1.355487
AUS,2004,1.366654
AUS,2005,1.388356
AUS,2006,1.404078
AUS,2007,1.426699
AUS,2008,1.479073
AUS,2009,1.441167
AUS,2010,1.502707
AUS,2011,1.511052
AUS,2012,1.540115
AUS,2013,1.446881
AUS,2014,1.459121
AUS,2015,1.462527
AUS,2016,1.447542
AUT,1960,0.96508
AUT,1961,1.006974
AUT,1962,1.02202
AUT,1963,1.043092
AUT,1964,1.058072
AUT,1965,1.087932
AUT,1966,1.084075
AUT,1967,1.088047
AUT,1968,1.067039
AUT,1969,1.042291
AUT,1970,1.015239
AUT,1971,1.026143
AUT,1972,1.058312
AUT,1973,1.084476
AUT,1974,1.089624
AUT,1975,1.061649
AUT,1976,1.063032
AUT,1977,1.05298
AUT,1978,1.042863
AUT,1979,1.002967
AUT,1980,0.971338
AUT,1981,0.948066
AUT,1982,0.940492
AUT,1983,0.936189
AUT,1984,0.94886
AUT,1985,0.946685
AUT,1986,0.955346
AUT,1987,0.954281
AUT,1988,0.93608
AUT,1989,0.927761
AUT,1990,0.921503
AUT,1991,0.924298
AUT,1992,0.935138
AUT,1993,0.938589
AUT,1994,0.942236
AUT,1995,0.939727
AUT,1996,0.934964
AUT,1997,0.932251
AUT,1998,0.923718
AUT,1999,0.923906
AUT,2000,0.908193
AUT,2001,0.920669
AUT,2002,0.899797
AUT,2003,0.889205
AUT,2004,0.878258
AUT,2005,0.881939
AUT,2006,0.860422
AUT,2007,0.86936
AUT,2008,0.854424
AUT,2009,0.842697
AUT,2010,0.840633
AUT,2011,0.831374
AUT,2012,0.813648
AUT,2013,0.797081
AUT,2014,0.795694
AUT,2015,0.796671
AUT,2016,0.79758
BEL,1960,0.861825
BEL,1961,0.863464
BEL,1962,0.857953
BEL,1963,0.871225
BEL,1964,0.895709
BEL,1965,0.9168
BEL,1966,0.922523
BEL,1967,0.925407
BEL,1968,0.905811
BEL,1969,0.89597
BEL,1970,0.886684
BEL,1971,0.891046
BEL,1972,0.908375
BEL,1973,0.922383
BEL,1974,0.952673
BEL,1975,0.977935
BEL,1976,0.997276
BEL,1977,1.00925
BEL,1978,0.98475
BEL,1979,0.950632
BEL,1980,0.907666
BEL,1981,0.872824
BEL,1982,0.884056
BEL,1983,0.898212
BEL,1984,0.914611
BEL,1985,0.927268
BEL,1986,0.93435
BEL,1987,0.926449
BEL,1988,0.914527
BEL,1989,0.922532
BEL,1990,0.914644
BEL,1991,0.910644
BEL,1992,0.920838
BEL,1993,0.935355
BEL,1994,0.935045
BEL,1995,0.927123
BEL,1996,0.928751
BEL,1997,0.928224
BEL,1998,0.936566
BEL,1999,0.931348
BEL,2000,0.900682
BEL,2001,0.890213
BEL,2002,0.8733
BEL,2003,0.877136
BEL,2004,0.888508
BEL,2005,0.891788
BEL,2006,0.874673
BEL,2007,0.880169
BEL,2008,0.86694
BEL,2009,0.849067
BEL,2010,0.835025
BEL,2011,0.831911
BEL,2012,0.822137
BEL,2013,0.806166
BEL,2014,0.79823
BEL,2015,0.797838
BEL,2016,0.799979
CAN,1960,0.953324
CAN,1961,0.94867
CAN,1962,0.941626
CAN,1963,0.948107
CAN,1964,0.957314
CAN,1965,0.963874
CAN,1966,0.977764
CAN,1967,0.992304
CAN,1968,0.980698
CAN,1969,0.97448
CAN,1970,0.930016
CAN,1971,0.92784
CAN,1972,0.94181
CAN,1973,0.979724
CAN,1974,1.035595
CAN,1975,1.049184
CAN,1976,1.089047
CAN,1977,1.095134
CAN,1978,1.090853
CAN,1979,1.108282
CAN,1980,1.118988
CAN,1981,1.133729
CAN,1982,1.16185
CAN,1983,1.182128
CAN,1984,1.181897
CAN,1985,1.183371
CAN,1986,1.195547
CAN,1987,1.221308
CAN,1988,1.233622
CAN,1989,1.243422
CAN,1990,1.240115
CAN,1991,1.237303
CAN,1992,1.22789
CAN,1993,1.214981
CAN,1994,1.207156
CAN,1995,1.209224
CAN,1996,1.208262
CAN,1997,1.201488
CAN,1998,1.186445
CAN,1999,1.19081
CAN,2000,1.227561
CAN,2001,1.220112
CAN,2002,1.229333
CAN,2003,1.226255
CAN,2004,1.232587
CAN,2005,1.213644
CAN,2006,1.205336
CAN,2007,1.213055
CAN,2008,1.23439
CAN,2009,1.201517
CAN,2010,1.221134
CAN,2011,1.239904
CAN,2012,1.244607
CAN,2013,1.224
CAN,2014,1.237576
CAN,2015,1.253367
CAN,2016,1.243191
CZE,1990,5.555302
CZE,1991,7.322179
CZE,1992,8.043641
CZE,1993,9.50731
CZE,1994,10.458136
CZE,1995,11.177471
CZE,1996,12.086879
CZE,1997,12.913507
CZE,1998,14.001597
CZE,1999,14.22935
CZE,2000,14.341465
CZE,2001,14.287515
CZE,2002,14.458321
CZE,2003,14.192577
CZE,2004,14.429087
CZE,2005,14.562493
CZE,2006,14.421223
CZE,2007,14.278177
CZE,2008,13.916713
CZE,2009,13.621707
CZE,2010,13.646715
CZE,2011,13.345305
CZE,2012,13.297699
CZE,2013,12.785271
CZE,2014,12.666181
CZE,2015,12.798979
CZE,2016,12.747481
DNK,1960,3.941534
DNK,1961,4.071686
DNK,1962,4.244655
DNK,1963,4.424863
DNK,1964,4.547297
DNK,1965,4.752777
DNK,1966,4.957231
DNK,1967,5.110157
DNK,1968,5.208318
DNK,1969,5.28073
DNK,1970,6.100777
DNK,1971,6.238245
DNK,1972,6.553503
DNK,1973,6.87534
DNK,1974,7.145544
DNK,1975,7.41332
DNK,1976,7.686769
DNK,1977,7.880228
DNK,1978,8.022593
DNK,1979,7.934619
DNK,1980,7.919485
DNK,1981,8.017813
DNK,1982,8.315324
DNK,1983,8.590312
DNK,1984,8.790327
DNK,1985,8.883292
DNK,1986,8.909231
DNK,1987,9.100654
DNK,1988,9.139674
DNK,1989,9.234447
DNK,1990,9.136781
DNK,1991,9.077622
DNK,1992,9.022267
DNK,1993,8.863702
DNK,1994,8.814869
DNK,1995,8.745511
DNK,1996,8.718194
DNK,1997,8.706494
DNK,1998,8.670642
DNK,1999,8.752578
DNK,2000,8.676771
DNK,2001,8.670866
DNK,2002,8.561606
DNK,2003,8.65796
DNK,2004,8.461561
DNK,2005,8.569438
DNK,2006,8.290944
DNK,2007,8.17355
DNK,2008,7.944128
DNK,2009,7.721652
DNK,2010,7.576796
DNK,2011,7.466492
