LOCATION,FREQUENCY,TIME,Value
ISL,Q,1960-Q2,0.002184292
ISL,Q,1960-Q3,0.002270457
ISL,Q,1960-Q4,0.002311231
ISL,Q,1961-Q1,0.002390536
ISL,Q,1961-Q2,0.002520672
ISL,Q,1961-Q3,0.002729135
ISL,Q,1961-Q4,0.002902945
ISL,Q,1962-Q1,0.003101512
ISL,Q,1962-Q2,0.003203679
ISL,Q,1962-Q3,0.003431305
ISL,Q,1962-Q4,0.003651364
ISL,Q,1963-Q1,0.003838523
ISL,Q,1963-Q2,0.004006149
ISL,Q,1963-Q3,0.004095525
ISL,Q,1963-Q4,0.004198757
ISL,Q,1964-Q1,0.004349423
ISL,Q,1964-Q2,0.004554591
ISL,Q,1964-Q3,0.004788311
ISL,Q,1964-Q4,0.005008292
ISL,Q,1965-Q1,0.005169612
ISL,Q,1965-Q2,0.005396678
ISL,Q,1965-Q3,0.005644199
ISL,Q,1965-Q4,0.005995212
ISL,Q,1966-Q1,0.006408349
ISL,Q,1966-Q2,0.006525523
ISL,Q,1966-Q3,0.006689261
ISL,Q,1966-Q4,0.006927718
ISL,Q,1967-Q1,0.007081565
ISL,Q,1967-Q2,0.007154572
ISL,Q,1967-Q3,0.007218743
ISL,Q,1967-Q4,0.007314494
ISL,Q,1968-Q1,0.007429588
ISL,Q,1968-Q2,0.007605053
ISL,Q,1968-Q3,0.007734786
ISL,Q,1968-Q4,0.00774329
ISL,Q,1969-Q1,0.008166932
ISL,Q,1969-Q2,0.008627023
ISL,Q,1969-Q3,0.009035601
ISL,Q,1969-Q4,0.009554893
ISL,Q,1970-Q1,0.01016025
ISL,Q,1970-Q2,0.01088765
ISL,Q,1970-Q3,0.01140424
ISL,Q,1970-Q4,0.01200125
ISL,Q,1971-Q1,0.01263503
ISL,Q,1971-Q2,0.01324695
ISL,Q,1971-Q3,0.0140601
ISL,Q,1971-Q4,0.0145851
ISL,Q,1972-Q1,0.01510337
ISL,Q,1972-Q2,0.01584743
ISL,Q,1972-Q3,0.01644775
ISL,Q,1972-Q4,0.01708834
ISL,Q,1973-Q1,0.01790321
ISL,Q,1973-Q2,0.0196161
ISL,Q,1973-Q3,0.0210909
ISL,Q,1973-Q4,0.02244635
ISL,Q,1974-Q1,0.02388495
ISL,Q,1974-Q2,0.02500784
ISL,Q,1974-Q3,0.02626723
ISL,Q,1974-Q4,0.02839951
ISL,Q,1975-Q1,0.03023833
ISL,Q,1975-Q2,0.03161038
ISL,Q,1975-Q3,0.0342176
ISL,Q,1975-Q4,0.03654086
ISL,Q,1976-Q1,0.03916579
ISL,Q,1976-Q2,0.04148075
ISL,Q,1976-Q3,0.04589859
ISL,Q,1976-Q4,0.04871017
ISL,Q,1977-Q1,0.05271652
ISL,Q,1977-Q2,0.05821314
ISL,Q,1977-Q3,0.06181795
ISL,Q,1977-Q4,0.06795213
ISL,Q,1978-Q1,0.07511895
ISL,Q,1978-Q2,0.08198665
ISL,Q,1978-Q3,0.08972126
ISL,Q,1978-Q4,0.101033
ISL,Q,1979-Q1,0.1136589
ISL,Q,1979-Q2,0.128322
ISL,Q,1979-Q3,0.1418758
ISL,Q,1979-Q4,0.1578706
ISL,Q,1980-Q1,0.1774158
ISL,Q,1980-Q2,0.2018613
ISL,Q,1980-Q3,0.2256298
ISL,Q,1980-Q4,0.2593875
ISL,Q,1981-Q1,0.3026901
ISL,Q,1981-Q2,0.350735
ISL,Q,1981-Q3,0.3999209
ISL,Q,1981-Q4,0.4508461
ISL,Q,1982-Q1,0.5004694
ISL,Q,1982-Q2,0.5515493
ISL,Q,1982-Q3,0.6117041
ISL,Q,1982-Q4,0.6956515
ISL,Q,1983-Q1,0.7959433
ISL,Q,1983-Q2,0.9360346
