LOCATION,TIME,Value
AUS,1950,0.892857
AUS,1951,0.892857
AUS,1952,0.892857
AUS,1953,0.892857
AUS,1954,0.892857
AUS,1955,0.892857
AUS,1956,0.892857
AUS,1957,0.892857
AUS,1958,0.892857
AUS,1959,0.892857
AUS,1960,0.892857
AUS,1961,0.892857
AUS,1962,0.892857
AUS,1963,0.892857
AUS,1964,0.892857
AUS,1965,0.892857
AUS,1966,0.892857
AUS,1967,0.892857
AUS,1968,0.892857
AUS,1969,0.892857
AUS,1970,0.892857
AUS,1971,0.88267
AUS,1972,0.838698
AUS,1973,0.703497
AUS,1974,0.696666
AUS,1975,0.763871
AUS,1976,0.818284
AUS,1977,0.901825
AUS,1978,0.873659
AUS,1979,0.894641
AUS,1980,0.878244
AUS,1981,0.870215
AUS,1982,0.985863
AUS,1983,1.110015
AUS,1984,1.139519
AUS,1985,1.431895
AUS,1986,1.495974
AUS,1987,1.42818
AUS,1988,1.279908
AUS,1989,1.264597
AUS,1990,1.281057
AUS,1991,1.283756
AUS,1992,1.361648
AUS,1993,1.47056
AUS,1994,1.367751
AUS,1995,1.349033
AUS,1996,1.277863
AUS,1997,1.34738
AUS,1998,1.591828
AUS,1999,1.54995
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUT,1950,1.453166
AUT,1951,1.552146
AUT,1952,1.552146
AUT,1953,1.774235
AUT,1954,1.889494
AUT,1955,1.889494
AUT,1956,1.889494
AUT,1957,1.889494
AUT,1958,1.889494
AUT,1959,1.889494
AUT,1960,1.889494
AUT,1961,1.889494
AUT,1962,1.889494
AUT,1963,1.889494
AUT,1964,1.889494
AUT,1965,1.889494
AUT,1966,1.889494
AUT,1967,1.889494
AUT,1968,1.889494
AUT,1969,1.889494
AUT,1970,1.889494
AUT,1971,1.815773
AUT,1972,1.679857
AUT,1973,1.422934
AUT,1974,1.358437
AUT,1975,1.265725
AUT,1976,1.303726
AUT,1977,1.201058
AUT,1978,1.055331
AUT,1979,0.971454
AUT,1980,0.940241
AUT,1981,1.157448
AUT,1982,1.239744
AUT,1983,1.305446
AUT,1984,1.454117
AUT,1985,1.503565
AUT,1986,1.109506
AUT,1987,0.918766
AUT,1988,0.89734
AUT,1989,0.96151
AUT,1990,0.826278
AUT,1991,0.848522
AUT,1992,0.798626
AUT,1993,0.845344
AUT,1994,0.830056
AUT,1995,0.732651
AUT,1996,0.769355
AUT,1997,0.886917
AUT,1998,0.899622
AUT,1999,0.938627
AUT,2000,1.085401
AUT,2001,1.11751
AUT,2002,1.062552
AUT,2003,0.886034
AUT,2004,0.805365
AUT,2005,0.80412
AUT,2006,0.797141
AUT,2007,0.730638
AUT,2008,0.682675
AUT,2009,0.719843
AUT,2010,0.755045
AUT,2011,0.719355
AUT,2012,0.778294
AUT,2013,0.753159
AUT,2014,0.753731
AUT,2015,0.901659
AUT,2016,0.904035
BEL,1950,1.239468
BEL,1951,1.239468
BEL,1952,1.239468
BEL,1953,1.239468
BEL,1954,1.239468
BEL,1955,1.239468
BEL,1956,1.239468
BEL,1957,1.239468
BEL,1958,1.239468
BEL,1959,1.239468
BEL,1960,1.239468
BEL,1961,1.239468
BEL,1962,1.239468
BEL,1963,1.239468
BEL,1964,1.239468
BEL,1965,1.239468
BEL,1966,1.239468
BEL,1967,1.239468
BEL,1968,1.239468
BEL,1969,1.239468
BEL,1970,1.239468
BEL,1971,1.216091
BEL,1972,1.091093
