Country or Area;Year;Value
Afghanistan;2014;2554678000.0
Afghanistan;2013;2576820000.0
Afghanistan;2012;2708631000.0
Afghanistan;2011;2627442000.0
Afghanistan;2010;2423336000.0
Afghanistan;2009;2469925000.0
Afghanistan;2008;2133805000.0
Afghanistan;2007;2012885000.0
Afghanistan;2006;969197000.0
Albania;2014;8000121000.0
Albania;2013;8430209000.0
Albania;2012;7156672000.0
Albania;2011;6227735000.0
Albania;2010;5200642000.0
Albania;2009;4310066000.0
Albania;2008;4238095000.0
Albania;2007;2897759000.0
Albania;2006;2465359000.0
Albania;2005;2101163000.0
Albania;2004;1606136000.0
Albania;2003;1552159000.0
Albania;2002;1181526000.0
Albania;2001;1154850000.0
Albania;2000;1122296000.0
Albania;1999;773092000.0
Albania;1998;623593000.0
Albania;1997;516477000.0
Albania;1996;491993000.0
Albania;1995;458850000.0
Albania;1994;883105000.0
Albania;1993;786034000.0
Albania;1992;632621000.0
Albania;1991;511485000.0
Algeria;2014;5452993000.0
Algeria;2013;5231264000.0
Algeria;2012;5495347000.0
Algeria;2011;6044782000.0
Algeria;2010;7246004000.0
Algeria;2009;7405467000.0
Algeria;2008;6246392000.0
Algeria;2007;6134509000.0
Algeria;2006;5910801000.0
Algeria;2005;17092402000.0
Algeria;2004;22426650000.0
Algeria;2003;23774850000.0
Algeria;2002;23040224000.0
Algeria;2001;22763886000.0
Algeria;2000;25476934000.0
Algeria;1999;28206784000.0
Algeria;1998;30692715000.0
Algeria;1997;30902557000.0
Algeria;1996;33653884000.0
Algeria;1995;33051926000.0
Algeria;1994;30241912000.0
Algeria;1993;26274671000.0
Algeria;1992;27351220000.0
Algeria;1991;28489946000.0
Algeria;1990;28153909000.0
Algeria;1989;27248120000.0
Algeria;1988;26101338000.0
Algeria;1987;24435167000.0
Algeria;1986;22638664000.0
Algeria;1985;18251976000.0
Algeria;1984;15883460000.0
Algeria;1983;16367460000.0
Algeria;1982;17624189000.0
Algeria;1981;18360310000.0
Algeria;1980;19313420000.0
Algeria;1979;18428221000.0
Algeria;1978;15733603000.0
Algeria;1977;10598950000.0
Algeria;1976;6114380000.0
Algeria;1975;4632813000.0
Algeria;1974;3365978000.0
Algeria;1973;2991380000.0
Algeria;1972;1549797000.0
Algeria;1971;1260811000.0
Algeria;1970;939559000.0
Angola;2014;28449577000.0
Angola;2013;25003929000.0
Angola;2012;21106468000.0
Angola;2011;19298252000.0
Angola;2010;16949092000.0
Angola;2009;17014273000.0
Angola;2008;15501573000.0
Angola;2007;11931683000.0
Angola;2006;9890494000.0
Angola;2005;12223964000.0
Angola;2004;9786141000.0
Angola;2003;9099853000.0
Angola;2002;9110398000.0
Angola;2001;8776913000.0
Angola;2000;9763470000.0
Angola;1999;10673235000.0
Angola;1998;10784075000.0
Angola;1997;9948271000.0
Angola;1996;10545818000.0
Angola;1995;11500021000.0
Angola;1994;11292746000.0
Angola;1993;10584311000.0
Angola;1992;10067610000.0
Angola;1991;9002060000.0
Angola;1990;8591990000.0
Angola;1989;7288778000.0
Armenia;2014;8550992000.0
Armenia;2013;8677559000.0
Armenia;2012;7637010000.0
