LOCATION,SUBJECT,TIME,Value
AUS,CONSTR,1975,30.28691
AUS,CONSTR,1976,31.68662
AUS,CONSTR,1977,31.99334
AUS,CONSTR,1978,31.9472
AUS,CONSTR,1979,33.13337
AUS,CONSTR,1980,34.80904
AUS,CONSTR,1981,36.52905
AUS,CONSTR,1982,35.59078
AUS,CONSTR,1983,31.95986
AUS,CONSTR,1984,34.87871
AUS,CONSTR,1985,37.4465
AUS,CONSTR,1986,37.08821
AUS,CONSTR,1987,38.14229
AUS,CONSTR,1988,41.43481
AUS,CONSTR,1989,45.81852
AUS,CONSTR,1990,43.38554
AUS,CONSTR,1991,39.52662
AUS,CONSTR,1992,39.04074
AUS,CONSTR,1993,42.02745
AUS,CONSTR,1994,45.00059
AUS,CONSTR,1995,46.11981
AUS,CONSTR,1996,46.9305
AUS,CONSTR,1997,49.25129
AUS,CONSTR,1998,56.12859
AUS,CONSTR,1999,58.84838
AUS,CONSTR,2000,57.08767
AUS,CONSTR,2001,54.47554
AUS,CONSTR,2002,65.4262
AUS,CONSTR,2003,70.60793
AUS,CONSTR,2004,75.1554
AUS,CONSTR,2005,80.32808
AUS,CONSTR,2006,85.69528
AUS,CONSTR,2007,91.27512
AUS,CONSTR,2008,97.96965
AUS,CONSTR,2009,97.11101
AUS,CONSTR,2010,100
AUS,CONSTR,2011,106.8158
AUS,CONSTR,2012,114.6929
AUS,CONSTR,2013,116.4292
AUS,CONSTR,2014,120.08
AUS,CONSTR,2015,119.9117
AUS,CONSTR,2016,118.5545
AUS,MFG,1975,58.92978
AUS,MFG,1976,61.86298
AUS,MFG,1977,61.47971
AUS,MFG,1978,62.47456
AUS,MFG,1979,65.74884
AUS,MFG,1980,67.34426
AUS,MFG,1981,69.22668
AUS,MFG,1982,67.46896
AUS,MFG,1983,63.27685
AUS,MFG,1984,66.83721
AUS,MFG,1985,69.27711
AUS,MFG,1986,69.02404
AUS,MFG,1987,73.13271
AUS,MFG,1988,77.68609
AUS,MFG,1989,79.34478
AUS,MFG,1990,78.35635
