LOCATION,FREQUENCY,TIME,Value
PRT,A,1994,10.47833
PRT,A,1995,11.465
PRT,A,1996,8.559167
PRT,A,1997,6.358333
PRT,A,1998,4.8775
PRT,A,1999,4.7775
PRT,A,2000,5.595
PRT,A,2001,5.158333
PRT,A,2002,5.006667
PRT,A,2003,4.180083
PRT,A,2004,4.143917
PRT,A,2005,3.437917
PRT,A,2006,3.914667
PRT,A,2007,4.424141
PRT,A,2008,4.519855
PRT,A,2009,4.210149
PRT,A,2010,5.396408
PRT,A,2011,10.23912
PRT,A,2012,10.54652
PRT,A,2013,6.293129
PRT,A,2014,3.75395
PRT,A,2015,2.423333
PRT,A,2016,3.171667
IRL,M,Dec-70,9.86
IRL,M,Jan-71,9.82
IRL,M,Feb-71,9.85
IRL,M,Mar-71,9.51
IRL,M,Apr-71,9.4
IRL,M,May-71,9.29
IRL,M,Jun-71,9.3
IRL,M,Jul-71,9.36
IRL,M,Aug-71,9.35
IRL,M,Sep-71,9.11
IRL,M,Oct-71,8.78
IRL,M,Nov-71,8.61
IRL,M,Dec-71,8.48
IRL,M,Jan-72,8.37
IRL,M,Feb-72,8.25
IRL,M,Mar-72,8.38
IRL,M,Apr-72,8.3
IRL,M,May-72,8.64
IRL,M,Jun-72,9.81
IRL,M,Jul-72,9.76
IRL,M,Aug-72,9.51
IRL,M,Sep-72,9.46
IRL,M,Oct-72,9.45
IRL,M,Nov-72,9.47
IRL,M,Dec-72,9.46
IRL,M,Jan-73,9.56
IRL,M,Feb-73,9.61
IRL,M,Mar-73,10.01
IRL,M,Apr-73,10
IRL,M,May-73,10.04
IRL,M,Jun-73,10.18
IRL,M,Jul-73,10.76
IRL,M,Aug-73,11.34
IRL,M,Sep-73,11.42
IRL,M,Oct-73,11.44
IRL,M,Nov-73,11.92
IRL,M,Dec-73,12.33
IRL,M,Jan-74,13.24
IRL,M,Feb-74,13.37
IRL,M,Mar-74,13.8
IRL,M,Apr-74,14.04
IRL,M,May-74,13.76
IRL,M,Jun-74,14.61
IRL,M,Jul-74,14.48
IRL,M,Aug-74,14.95
IRL,M,Sep-74,14.66
IRL,M,Oct-74,15.32
IRL,M,Nov-74,16.35
IRL,M,Dec-74,16.86
IRL,M,Jan-75,15.2
IRL,M,Feb-75,14.06
IRL,M,Mar-75,13.18
IRL,M,Apr-75,13.88
IRL,M,May-75,13.64
IRL,M,Jun-75,13.76
IRL,M,Jul-75,13.16
