Country or Area;Year;Quantity
Argentina;2014;453541.0
Argentina;2013;398751.0
Argentina;2012;353589.0
Argentina;2011;266132.0
Argentina;2010;139777.0
Argentina;2009;96366.0
Argentina;2008;52604.0
Argentina;2007;66263.0
Argentina;2006;71049.0
Argentina;2005;67634.0
Argentina;2004;71022.0
Argentina;2003;3539.0
Argentina;2002;3923.0
Argentina;2001;0.0
Argentina;2000;16388.4
Argentina;1999;16354.0
Argentina;1998;66412.04
Argentina;1997;82722.4
Argentina;1996;85584.0
Argentina;1995;89088.0
Argentina;1994;94345.0
Argentina;1993;66738.0
Argentina;1992;82755.0
Argentina;1991;75554.0
Argentina;1990;85260.0
Armenia;2014;91294.7038
Armenia;2013;91953.41
Armenia;2012;95531.6024
Armenia;2011;80468.716
Armenia;2010;63761.0008
Armenia;2009;65601.0009
Armenia;2008;84975.0015
Armenia;2007;77436.0
Armenia;2006;64693.0
Armenia;2005;63525.0
Armenia;2004;50781.9996
Armenia;2003;45278.0
Armenia;2002;40716.0
Armenia;2001;53082.0
Armenia;2000;52116.0
Armenia;1999;46239.0
Armenia;1998;56739.0
Armenia;1997;54477.0
Armenia;1996;41470.0
Armenia;1995;53200.0
Armenia;1994;32870.0
Armenia;1993;30628.0
Armenia;1992;70680.0
Australia;2014;277519.0
Australia;2013;260670.0
Australia;2012;232449.0
Australia;2011;261044.0
Australia;2010;225728.0
Australia;2009;258493.0
Australia;2008;219330.0
Australia;2007;232184.0
Australia;2006;51820.0
Australia;2005;0.0
Australia;2004;894.0
Australia;2003;2609.0
Austria;2014;386748.0
Austria;2013;396671.0
Austria;2012;541128.0
Austria;2011;510953.0
Austria;2010;474049.0
Austria;2009;407906.0
Austria;2008;386405.0
Austria;2007;379606.0
Austria;2006;409720.0
Austria;2005;373543.0
Austria;2004;339684.0
Austria;2003;325261.0
Austria;2002;260885.0
Austria;2001;250658.0
Austria;2000;247538.0
Austria;1999;241433.0
Austria;1998;246410.0
Austria;1997;238603.0
Austria;1996;260237.0
Austria;1995;252025.0
Austria;1994;197373.0
Austria;1993;213067.0
Austria;1992;202231.0
Austria;1991;202552.0
Austria;1990;206709.0
Azerbaijan;2006;172898.0
Azerbaijan;2005;176549.0
Azerbaijan;2004;187218.0
Azerbaijan;2003;153778.0
Azerbaijan;2002;148350.0
Azerbaijan;2001;125804.0
Azerbaijan;2000;10691.0
Azerbaijan;1999;0.0
Azerbaijan;1998;0.0
Azerbaijan;1997;0.0
Azerbaijan;1996;905.0
Azerbaijan;1995;22394.0
Azerbaijan;1994;98435.0
Azerbaijan;1993;112120.0
Azerbaijan;1992;198490.0
Belarus;2014;774448.0
Belarus;2013;782482.0
Belarus;2012;782173.0
Belarus;2011;772363.0
Belarus;2010;833077.0
Belarus;2009;680404.0
Belarus;2008;813418.0
Belarus;2007;796579.0
Belarus;2006;802874.0
Belarus;2005;777075.0
Belarus;2004;758652.0
Belarus;2003;699560.0
Belarus;2002;678898.0
Belarus;2001;666847.0
Belarus;2000;661016.0
Belarus;1999;639773.0
Belarus;1998;618106.0
Belarus;1997;627260.0
Belarus;1996;554032.0
Belarus;1995;522594.0
Belarus;1994;552182.0
Belarus;1993;629735.0
Belarus;1992;677771.0
Belgium;2014;626763.0
Belgium;2013;709887.0
Belgium;2012;709209.0
Belgium;2011;829807.0
Belgium;2010;909253.0
Belgium;2009;836911.0
Belgium;2008;720653.0
Belgium;2007;693125.0
Belgium;2006;699213.0
Belgium;2005;689306.0
Belgium;2004;677290.0
Belgium;2003;662591.0
Belgium;2002;635134.0
Belgium;2001;610993.0
Belgium;2000;617685.0
Belgium;1999;627007.0
Belgium;1998;578325.0
Belgium;1997;524752.0
Belgium;1996;552602.0
Belgium;1995;484665.0
Belgium;1994;454803.0
Belgium;1993;440441.0
Belgium;1992;425078.0
Belgium;1991;402887.0
Belgium;1990;382255.0
Bosnia and Herzegovina;2014;7043.0
Bosnia and Herzegovina;2013;7572.0
Bosnia and Herzegovina;2012;9730.0
Bosnia and Herzegovina;2011;10564.0
Bosnia and Herzegovina;2010;9283.0
Bosnia and Herzegovina;2009;8849.0
Bosnia and Herzegovina;2008;15513.0
Bosnia and Herzegovina;2007;15632.0
Bosnia and Herzegovina;2006;14790.0
Bosnia and Herzegovina;2005;14058.0
Bosnia and Herzegovina;2004;11837.0
Bosnia and Herzegovina;2003;7511.0
Bosnia and Herzegovina;2002;5745.0
Bosnia and Herzegovina;2001;6074.0
Bosnia and Herzegovina;2000;9281.0
Bosnia and Herzegovina;1999;6700.0
Bosnia and Herzegovina;1998;6571.0
Bosnia and Herzegovina;1997;5763.0
Bosnia and Herzegovina;1996;9606.0
Bosnia and Herzegovina;1995;5726.0
Bosnia and Herzegovina;1994;6539.0
Bosnia and Herzegovina;1993;5473.0
Bosnia and Herzegovina;1992;16000.0
Brazil;2014;748204.0
Brazil;2013;656887.0
Brazil;2012;510593.0
Brazil;2011;405917.0
Brazil;2010;489800.0
Brazil;2009;323991.0
Brazil;2008;439482.0
Brazil;2007;400215.0
Brazil;2006;379109.0
Brazil;2005;348458.0
Brazil;2004;313155.0
Brazil;2003;195770.0
Brazil;2002;207931.0
Brazil;2001;178459.0
Brazil;2000;83885.0
Brazil;1999;15491.0
Brazil;1998;0.0
Brazil;1997;0.0
Brazil;1996;0.0
Brazil;1995;0.0
Brazil;1994;0.0
Brazil;1993;0.0
Brazil;1992;0.0
Brazil;1991;0.0
Brunei Darussalam;1997;0.0
Brunei Darussalam;1996;0.0
Brunei Darussalam;1995;0.0
Brunei Darussalam;1994;0.0
Brunei Darussalam;1993;0.0
Brunei Darussalam;1992;0.0
Brunei Darussalam;1991;0.0
Bulgaria;2014;103460.0
Bulgaria;2013;103540.0
Bulgaria;2012;95029.0
Bulgaria;2011;105337.0
Bulgaria;2010;99133.0
Bulgaria;2009;99130.0
Bulgaria;2008;130460.0
Bulgaria;2007;128088.0
Bulgaria;2006;121355.0
Bulgaria;2005;114340.0
Bulgaria;2004;111129.0
Bulgaria;2003;109593.0
Bulgaria;2002;116222.0
Bulgaria;2001;127044.0
Bulgaria;2000;127563.0
Bulgaria;1999;128240.0
Bulgaria;1998;145145.0
Bulgaria;1997;179192.0
Bulgaria;1996;220040.0
Bulgaria;1995;191032.0
Bulgaria;1994;156522.0
Bulgaria;1993;158121.0
Bulgaria;1992;170038.0
Bulgaria;1991;188305.0
Bulgaria;1990;227353.0
Canada;2014;837699.0
Canada;2013;1021945.0
Canada;2012;1213081.0
Canada;2011;1208073.0
Canada;2010;873198.0
Canada;2009;793914.0
Canada;2008;610324.0
Canada;2007;516444.0
Canada;2006;368567.0
Canada;2005;364392.0
Canada;2004;414979.0
Canada;2003;369794.0
Canada;2002;251548.0
Canada;2001;148953.0
Canada;2000;61823.0
Canada;1999;30658.0
Canada;1998;30226.0
Canada;1997;48394.0
Canada;1996;46389.0
Canada;1995;25670.0
Canada;1994;40031.0
Canada;1993;30895.0
Canada;1992;62838.0
Canada;1991;12070.0
Canada;1990;24220.0
Chile;2014;136813.0
Chile;2013;152036.0
