Country or Area;Year;Quantity
Afghanistan;1992;0.0
Afghanistan;1991;0.0
Afghanistan;1990;0.0
Algeria;2014;1765448.0
Algeria;2013;1875080.0
Algeria;2012;2070772.0
Algeria;2011;2084557.0
Algeria;2010;2263145.0
Algeria;2009;2182707.0
Algeria;2008;2384786.0
Algeria;2007;2385739.0
Algeria;2006;2457457.0
Algeria;2005;2341995.0
Algeria;2004;2378557.0015
Algeria;2003;2353417.99929
Algeria;2002;2306043.0012
Algeria;2001;2234390.0
Algeria;2000;2467920.0
Algeria;1999;2314726.0
Algeria;1998;2045038.0
Algeria;1997;2162030.0
Algeria;1996;1590845.0
Algeria;1995;1471050.0
Algeria;1994;1236150.0
Algeria;1993;1367807.0
Algeria;1992;1389112.0
Algeria;1991;1322390.0
Algeria;1990;1222500.0
Angola;2014;16340.0
Angola;2013;19760.0
Angola;2012;0.0
Angola;2011;0.0
Angola;2010;0.0
Argentina;2014;2465.0
Argentina;2013;2805.0
Argentina;2012;4081.0
Argentina;2011;7795.0
Argentina;2010;18133.0
Argentina;2009;36768.0
Argentina;2008;41624.0
Argentina;2007;104741.0
Argentina;2006;245305.0
Argentina;2005;258699.0
Argentina;2004;287318.0
Argentina;2003;263577.0
Argentina;2002;227635.0
Argentina;2001;240639.0
Argentina;2000;180786.0
Argentina;1999;131803.0
Argentina;1998;74682.0
Argentina;1997;26049.0
Argentina;1996;0.0
Argentina;1995;0.0
Argentina;1994;0.0
Argentina;1993;0.0
Armenia;2014;707.4326
Armenia;2013;2078.542
Armenia;2012;2709.6182
Armenia;2011;4143.2498
Armenia;2010;0.0
Armenia;2009;1192.0018
Armenia;2008;1205.9986
Armenia;2007;980.0007
Armenia;2006;829.0
Armenia;2005;1244.0
Armenia;2004;490.0
Australia;2014;1264582.0
Australia;2013;1278563.0
Australia;2012;1026310.0
Australia;2011;1085657.0
Australia;2010;971908.0
Australia;2009;838297.0
Australia;2008;744095.0
Australia;2007;779676.0
Australia;2006;654390.0
Australia;2005;576035.0
Australia;2004;430514.0
Australia;2003;425758.0
Australia;2002;413421.0
Australia;2001;409637.0
Australia;2000;431027.0
Australia;1999;425366.0
Australia;1998;416151.0
Australia;1997;401300.0
Australia;1996;411650.0
Australia;1995;384046.0
Australia;1994;320737.0
Australia;1993;276606.0
Australia;1992;235400.0
Australia;1991;185000.0
Australia;1990;109300.0
Austria;2014;96661.0
Austria;2013;151273.0
Austria;2012;243589.0
Austria;2011;138898.0
Austria;2010;189563.0
Austria;2009;109962.0
Austria;2008;75641.0
Austria;2007;105297.0
Austria;2006;99114.0
Austria;2005;40809.0
Austria;2004;54209.0
Austria;2003;45387.0
Austria;2002;27422.0
Austria;2001;16347.0
Austria;2000;704.0
Austria;1999;0.0
Austria;1998;768.0
Austria;1997;0.0
Austria;1996;0.0
Austria;1995;634.0
Austria;1994;208.0
Austria;1993;0.0
Austria;1992;13.0
Austria;1991;0.0
Austria;1990;0.0
Azerbaijan;2014;316112.0
Azerbaijan;2013;285450.0
Azerbaijan;2012;258460.0
Azerbaijan;2011;266272.0
Azerbaijan;2010;241672.0
Azerbaijan;2009;228449.2
Azerbaijan;2008;204814.0
Azerbaijan;2007;70984.0
Azerbaijan;2006;2536.0
Azerbaijan;2005;0.0
Azerbaijan;2004;0.0
Azerbaijan;2003;0.0
Azerbaijan;2002;0.0
Azerbaijan;2001;0.0
Azerbaijan;1995;2375.0
Azerbaijan;1994;0.0
Azerbaijan;1993;17342.0
Azerbaijan;1992;35853.0
Belgium;2014;33730.0
Belgium;2013;36740.0
Belgium;2012;50174.0
Belgium;2011;157038.0
Belgium;2010;128123.0
Belgium;2009;140866.0
Belgium;2008;27567.0
Bolivia (Plur. State of);2014;696662.0
Bolivia (Plur. State of);2013;666515.0
Bolivia (Plur. State of);2012;568814.0
Bolivia (Plur. State of);2011;490116.0
Bolivia (Plur. State of);2010;455388.0
Bolivia (Plur. State of);2009;384322.0
Bolivia (Plur. State of);2008;471465.0
Bolivia (Plur. State of);2007;462987.0
Bolivia (Plur. State of);2006;362926.0
Bolivia (Plur. State of);2005;385592.0
Bolivia (Plur. State of);2004;308586.0
Bolivia (Plur. State of);2003;195978.0
Bolivia (Plur. State of);2002;146895.0
Bolivia (Plur. State of);2001;140073.0
Bolivia (Plur. State of);2000;78134.0
Bolivia (Plur. State of);1999;36195.0
Bolivia (Plur. State of);1998;55389.0
Bolivia (Plur. State of);1997;55634.0
Bolivia (Plur. State of);1996;71365.0
Bolivia (Plur. State of);1995;92373.0
Bolivia (Plur. State of);1994;97543.0
Bolivia (Plur. State of);1993;94109.0
Bolivia (Plur. State of);1992;95653.0
Bolivia (Plur. State of);1991;98006.0
Bolivia (Plur. State of);1990;99125.0
Brunei Darussalam;2014;324848.0
Brunei Darussalam;2013;359143.0
Brunei Darussalam;2012;343653.0
Brunei Darussalam;2011;350476.0
Brunei Darussalam;2010;353186.0
Brunei Darussalam;2009;372663.0
Brunei Darussalam;2008;394051.0
Brunei Darussalam;2007;383698.0
Brunei Darussalam;2006;426723.0
Brunei Darussalam;2005;401876.0
Brunei Darussalam;2004;411413.0
Brunei Darussalam;2003;423510.0
Brunei Darussalam;2002;389562.0
Brunei Darussalam;2001;386604.0
Brunei Darussalam;2000;379008.0
Brunei Darussalam;1999;340797.0
Brunei Darussalam;1998;341500.0
Brunei Darussalam;1997;357175.0
Brunei Darussalam;1996;359400.0
Brunei Darussalam;1995;359800.0
Brunei Darussalam;1994;329600.0
Brunei Darussalam;1993;318000.0
Brunei Darussalam;1992;304200.0
Brunei Darussalam;1991;302900.0
Brunei Darussalam;1990;315000.0
Bulgaria;2014;73.0
Canada;2014;3040885.0
Canada;2013;3203183.0
Canada;2012;3420362.0
Canada;2011;3575218.0
Canada;2010;3682104.0
Canada;2009;3660085.0
Canada;2008;3978374.0
Canada;2007;4148026.0
Canada;2006;3898243.0
Canada;2005;4065936.0
Canada;2004;4022042.0
Canada;2003;3876239.0
Canada;2002;4103366.0
Canada;2001;4120413.0
Canada;2000;3846343.0
Canada;1999;3626971.0
Canada;1998;3403358.0
Canada;1997;3118037.0
Canada;1996;3052458.0
Canada;1995;3011066.0
Canada;1994;2752595.0
Canada;1993;2395257.0
Canada;1992;2193148.0
Canada;1991;1804035.0
Canada;1990;1537221.0
Chile;1998;581.0
Chile;1997;1824.0
Chile;1996;1368.0
Chile;1995;2673.0
Chile;1994;3325.0
China;2014;97211.3
China;2013;102279.0
China;2012;107681.4
China;2011;118784.9
China;2010;150157.8
China;2009;119567.3
China;2008;120908.7
China;2007;96876.0
China;2006;107979.5
China;2005;110625.0
China;2004;90914.0
China;2003;69788.0
China;2002;119344.0
China;2001;94210.0
China;2000;93348.0
China;1999;103261.0
China;1998;93643.0
China;1997;99817.0
China;1996;63927.0
China;1995;1008.0
China;1994;0.0
China;1993;0.0
Colombia;2014;35810.0
