Country or Area;Year;Value
Afghanistan;2014;138.475738636
Afghanistan;2013;135.915094293
Afghanistan;2012;137.014789865
Afghanistan;2011;145.239188665
Afghanistan;2010;143.59006244
Afghanistan;2009;138.771058293
Afghanistan;2008;128.466579573
Afghanistan;2007;128.729252194
Afghanistan;2006;126.643300069
Afghanistan;2005;119.74570637
Afghanistan;2004;121.564705274
Afghanistan;2003;111.942245292
Afghanistan;2002;115.586208701
Afghanistan;2001;116.15984007
Afghanistan;2000;100.0
Albania;2014;89.8460358945
Albania;2013;92.2724519728
Albania;2012;93.370505272
Albania;2011;91.8231697796
Albania;2010;91.8635194168
Albania;2009;88.7324483616
Albania;2008;88.8077418283
Albania;2007;89.6657119415
Albania;2006;91.0721585104
Albania;2005;91.2771538151
Albania;2004;92.3965209863
Albania;2003;94.3145694835
Albania;2002;98.7138707791
Albania;2001;98.8561005046
Albania;2000;100.0
Algeria;2014;264.523111879
Algeria;2013;283.232581163
Algeria;2012;290.90346357
Algeria;2011;262.522637856
Algeria;2010;225.076012531
Algeria;2009;171.230904918
Algeria;2008;231.429269928
Algeria;2007;189.523671871
Algeria;2006;190.189251052
Algeria;2005;165.061026306
Algeria;2004;129.708403507
Algeria;2003;116.034026361
Algeria;2002;101.352169965
Algeria;2001;103.915343915
Algeria;2000;100.0
Algeria;1999;59.4339622642
Algeria;1998;50.9259259259
Algeria;1997;70.7547169811
Algeria;1996;67.5438596491
Algeria;1995;57.8947368421
Algeria;1994;57.4074074074
Algeria;1993;58.5585585586
Algeria;1992;70.5882352941
Algeria;1991;81.1881188119
Algeria;1990;73.9495798319
Algeria;1989;59.0909090909
Algeria;1988;57.4074074074
Algeria;1987;63.1067961165
Algeria;1986;67.0454545455
Algeria;1985;136.111111111
Algeria;1984;139.726027397
Algeria;1983;168.253968254
Algeria;1982;165.714285714
Algeria;1981;194.444444444
Algeria;1980;168.35443038
American Samoa;2014;137.308310211
American Samoa;2013;137.730679519
American Samoa;2012;137.274573661
American Samoa;2011;136.259537787
American Samoa;2010;156.706707131
American Samoa;2009;152.943476545
American Samoa;2008;150.763318885
American Samoa;2007;170.724461283
American Samoa;2006;172.583311323
American Samoa;2005;107.35463774
American Samoa;2004;116.763838359
American Samoa;2003;113.151317688
American Samoa;2002;101.295268629
American Samoa;2001;102.174294166
American Samoa;2000;100.0
Andorra;2004;95.0865527984
Andorra;2003;98.9599586747
Andorra;2002;100.762692089
Andorra;2001;99.6491463095
Andorra;2000;100.0
Angola;2014;239.812071852
Angola;2013;252.636246817
Angola;2012;257.338886365
Angola;2011;253.524574808
Angola;2010;200.841808554
Angola;2009;166.191784075
Angola;2008;240.30775475
Angola;2007;199.829085696
Angola;2006;189.293281529
Angola;2005;166.667316902
Angola;2004;121.647984175
Angola;2003;101.726201957
Angola;2002;92.4703516921
Angola;2001;91.4672216441
Angola;2000;100.0
Angola;1999;60.0
Angola;1998;44.3298969072
Angola;1997;68.3168316832
Angola;1996;86.5384615385
Angola;1995;80.7692307692
Angola;1994;68.5714285714
Angola;1993;61.7021276596
Angola;1992;66.6666666667
Angola;1991;63.5761589404
Angola;1990;94.2528735632
Angola;1989;121.31147541
Angola;1988;106.666666667
Angola;1987;84.9315068493
Angola;1986;85.2941176471
Angola;1985;118.867924528
Antigua and Barbuda;2014;57.0246035927
Antigua and Barbuda;2013;59.3755495497
Antigua and Barbuda;2012;63.7614542138
Antigua and Barbuda;2011;64.8722825427
Antigua and Barbuda;2010;73.1127572905
Antigua and Barbuda;2009;81.4755624347
Antigua and Barbuda;2008;81.9077524073
Antigua and Barbuda;2007;80.918157023
Antigua and Barbuda;2006;79.6335324353
Antigua and Barbuda;2005;78.5429194459
Antigua and Barbuda;2004;85.0697831637
Antigua and Barbuda;2003;88.4818266625
Antigua and Barbuda;2002;93.1401473865
Antigua and Barbuda;2001;92.1371599984
Antigua and Barbuda;2000;100.0
Argentina;2014;170.275548356
Argentina;2013;174.025750255
Argentina;2012;177.963224042
Argentina;2011;175.420356485
Argentina;2010;148.735231645
Argentina;2009;141.31927542
Argentina;2008;169.939531321
Argentina;2007;136.079861996
Argentina;2006;121.986731865
Argentina;2005;112.433496574
Argentina;2004;110.827340817
Argentina;2003;100.802253417
Argentina;2002;92.8663202839
Argentina;2001;96.5843214784
Argentina;2000;100.0
Argentina;1999;91.0
Argentina;1998;95.1923076923
Argentina;1997;100.0
Argentina;1996;100.0
Argentina;1995;91.5966386555
Argentina;1994;97.247706422
Argentina;1993;96.0784313725
Argentina;1992;93.2692307692
Argentina;1991;92.0792079208
Argentina;1990;63.5593220339
Argentina;1989;69.0909090909
Argentina;1988;75.0
Argentina;1987;82.1782178218
Argentina;1986;91.3043478261
Argentina;1985;94.1176470588
Argentina;1984;83.7209302326
Argentina;1983;83.908045977
Argentina;1982;79.0697674419
Argentina;1981;86.8131868132
Argentina;1980;106.25
Armenia;2014;112.749933616
Armenia;2013;114.735907408
Armenia;2012;119.021183593
Armenia;2011;126.038654281
Armenia;2010;127.087952638
Armenia;2009;112.37978059
Armenia;2008;114.814259503
Armenia;2007;112.313331251
Armenia;2006;112.768187358
Armenia;2005;101.077307159
Armenia;2004;105.58443259
Armenia;2003;99.3994416824
Armenia;2002;99.9217632093
Armenia;2001;98.9084747299
Armenia;2000;100.0
Aruba;2014;133.479337757
Aruba;2013;114.485851912
Aruba;2012;109.914426683
Aruba;2011;108.031014441
Aruba;2010;98.5118133598
Aruba;2009;94.1217913232
Aruba;2008;132.429926617
Aruba;2007;119.382924051
Aruba;2006;119.649673271
Aruba;2005;115.910060444
Aruba;2004;101.870171166
Aruba;2003;96.1375777396
Aruba;2002;89.1431411786
Aruba;2001;92.8782641501
Aruba;2000;100.0
Australia;2014;165.074049666
Australia;2013;176.991600762
Australia;2012;181.991130873
Australia;2011;200.432685248
Australia;2010;178.900164479
Australia;2009;162.975636816
Australia;2008;174.630501735
Australia;2007;152.391242032
Australia;2006;145.516119785
Australia;2005;131.084923192
Australia;2004;116.175504306
Australia;2003;105.923504966
Australia;2002;105.849473797
Australia;2001;104.075270616
Australia;2000;100.0
Austria;2014;87.7416133223
Austria;2013;87.7514290681
Austria;2012;87.4328057739
Austria;2011;88.6635689707
Austria;2010;91.3734392736
Austria;2009;93.6673331465
Austria;2008;92.0136936028
Austria;2007;94.4708439947
Austria;2006;93.9585420169
Austria;2005;95.1285121204
Austria;2004;96.85803947
Austria;2003;97.9963298351
Austria;2002;98.8575718302
Austria;2001;98.6833144154
Austria;2000;100.0
Azerbaijan;2014;184.163132464
Azerbaijan;2013;197.245097976
Azerbaijan;2012;197.908403691
Azerbaijan;2011;191.404693297
Azerbaijan;2010;155.301227503
Azerbaijan;2009;126.998214843
Azerbaijan;2008;189.924691382
Azerbaijan;2007;153.096901466
Azerbaijan;2006;150.306347735
Azerbaijan;2005;136.549900612
Azerbaijan;2004;111.574268285
Azerbaijan;2003;95.943517027
Azerbaijan;2002;90.1435429051
Azerbaijan;2001;87.1412451465
Azerbaijan;2000;100.0
Bahamas, The;2014;81.042431622
Bahamas, The;2013;81.5661013137
Bahamas, The;2012;87.484906918
Bahamas, The;2011;87.5644625144
Bahamas, The;2010;82.9349335523
Bahamas, The;2009;81.8224883557
Bahamas, The;2008;89.8834547712
Bahamas, The;2007;91.2189431375
Bahamas, The;2006;93.0744067289
Bahamas, The;2005;95.8553828469
Bahamas, The;2004;99.2979494196
Bahamas, The;2003;99.1290514087
Bahamas, The;2002;93.3146157893
Bahamas, The;2001;96.6372497637
Bahamas, The;2000;100.0
Bahrain;2014;125.412862255
Bahrain;2013;125.759079562
Bahrain;2012;125.033755954
Bahrain;2011;127.340854437
Bahrain;2010;125.713969043
Bahrain;2009;110.911514049
Bahrain;2008;142.822115635
Bahrain;2007;127.312028855
Bahrain;2006;129.594184544
Bahrain;2005;116.08416708
Bahrain;2004;105.285933613
Bahrain;2003;95.5953338179
Bahrain;2002;92.5018482213
Bahrain;2001;95.240671228
Bahrain;2000;100.0
Bangladesh;2014;59.3175150716
Bangladesh;2013;59.571612919
Bangladesh;2012;60.402894518
Bangladesh;2011;56.2798414903
Bangladesh;2010;60.9921188891
Bangladesh;2009;66.9940341224
Bangladesh;2008;58.7483654652
Bangladesh;2007;68.0573471478
Bangladesh;2006;75.1623875755
Bangladesh;2005;80.4711470125
Bangladesh;2004;86.4638835603
Bangladesh;2003;92.9831794064
Bangladesh;2002;102.769937227
Bangladesh;2001;103.604639882
Bangladesh;2000;100.0
Bangladesh;1999;108.695652174
Bangladesh;1998;113.793103448
Bangladesh;1997;114.285714286
Bangladesh;1996;110.975609756
Bangladesh;1995;111.842105263
Bangladesh;1994;114.285714286
Bangladesh;1993;124.242424242
Bangladesh;1992;123.529411765
Bangladesh;1991;126.865671642
Bangladesh;1990;117.391304348
Bangladesh;1989;124.615384615
Bangladesh;1988;128.571428571
Bangladesh;1987;128.813559322
Bangladesh;1986;132.727272727
Bangladesh;1985;162.264150943
Bangladesh;1984;135.849056604
Bangladesh;1983;129.62962963
Bangladesh;1982;137.735849057
Bangladesh;1981;132.75862069
Bangladesh;1980;136.666666667
Barbados;2014;113.642681526
Barbados;2013;113.719460499
Barbados;2012;115.394798553
Barbados;2011;110.653724895
Barbados;2010;117.584619385
Barbados;2009;125.718527713
Barbados;2008;121.344055119
Barbados;2007;120.032929957
Barbados;2006;121.828963961
Barbados;2005;118.330637592
Barbados;2004;107.550684798
Barbados;2003;100.791136518
Barbados;2002;96.5405556545
Barbados;2001;97.7930289597
Barbados;2000;100.0
Belarus;2014;116.886218797
Belarus;2013;116.886218797
Belarus;2012;119.274088435
Belarus;2011;110.126573685
Belarus;2010;101.187728418
Belarus;2009;99.1709885971
Belarus;2008;111.533767663
Belarus;2007;100.489163514
Belarus;2006;103.070220796
Belarus;2005;99.2762249382
Belarus;2004;98.3639120941
Belarus;2003;98.3639120941
Belarus;2002;99.8952184179
Belarus;2001;99.7933884298
Belarus;2000;100.0
Belgium;2014;95.3973633507
Belgium;2013;94.7194951509
Belgium;2012;94.562380703
Belgium;2011;95.1274542227
Belgium;2010;96.4622641509
Belgium;2009;98.3495693191
Belgium;2008;96.4622641509
Belgium;2007;99.3417347226
Belgium;2006;98.127200749
Belgium;2005;98.9663635589
Belgium;2004;100.418496939
Belgium;2003;101.595775733
Belgium;2002;101.657294289
Belgium;2001;100.297510798
Belgium;2000;100.0
Belize;2014;100.347072909
Belize;2013;99.3364600593
Belize;2012;100.307934097
Belize;2011;102.234474344
Belize;2010;99.0887729281
Belize;2009;94.4725645835
Belize;2008;86.6928403449
Belize;2007;88.0420975672
Belize;2006;92.8905333681
Belize;2005;84.9422703555
Belize;2004;87.7819735662
Belize;2003;87.9621602677
Belize;2002;97.4570952043
Belize;2001;104.791779981
Belize;2000;100.0
Benin;2014;114.968397458
Benin;2013;113.63224089
Benin;2012;115.774182185
Benin;2011;126.720480718
Benin;2010;120.503553439
Benin;2009;107.863364903
