DATE,POILWTIUSDM
1980-01-01,37
1980-02-01,37.04
1980-03-01,39.52
1980-04-01,39.5
1980-05-01,39.5
1980-06-01,39.5
1980-07-01,39.49
1980-08-01,38.01
1980-09-01,36.02
1980-10-01,36
1980-11-01,35.98
1980-12-01,36.99
1981-01-01,38
1981-02-01,38
1981-03-01,38
1981-04-01,37.99
1981-05-01,36.02
1981-06-01,36
1981-07-01,35
1981-08-01,35
1981-09-01,35
1981-10-01,35
1981-11-01,35
1981-12-01,35
1982-01-01,35.01
1982-02-01,34.03
1982-03-01,33.01
1982-04-01,31.99
1982-05-01,32
1982-06-01,32
1982-07-01,32
1982-08-01,32
1982-09-01,32
1982-10-01,33
1982-11-01,33
1982-12-01,32
1983-01-01,32
1983-02-01,30.02
1983-03-01,29.17
1983-04-01,30.51
1983-05-01,30.19
1983-06-01,31.03
1983-07-01,31.64
1983-08-01,31.9
1983-09-01,31.24
1983-10-01,30.41
1983-11-01,29.99
1983-12-01,29.15
1984-01-01,29.7
1984-02-01,30.14
1984-03-01,30.78
1984-04-01,30.61
1984-05-01,30.55
1984-06-01,29.95
1984-07-01,28.64
1984-08-01,29.25
1984-09-01,29.36
1984-10-01,28.76
1984-11-01,28.05
1984-12-01,26.86
1985-01-01,25.65
1985-02-01,27.31
1985-03-01,28.37
1985-04-01,28.82
1985-05-01,27.63
1985-06-01,27.19
1985-07-01,27.34
1985-08-01,27.76
1985-09-01,28.27
1985-10-01,29.58
1985-11-01,30.8
1985-12-01,27.18
1986-01-01,22.86
1986-02-01,15.4
1986-03-01,12.48
1986-04-01,12.85
1986-05-01,15.42
1986-06-01,13.56
1986-07-01,11.57
1986-08-01,15.1
1986-09-01,14.95
1986-10-01,14.88
1986-11-01,15.17
1986-12-01,16.05
1987-01-01,18.69
1987-02-01,17.76
1987-03-01,18.41
1987-04-01,18.67
1987-05-01,19.44
1987-06-01,20.07
1987-07-01,21.34
1987-08-01,20.28
1987-09-01,19.55
1987-10-01,19.87
1987-11-01,18.97
1987-12-01,17.27
1988-01-01,17.14
1988-02-01,16.73
1988-03-01,16.19
