Country or Area;Year;Quantity
Albania;1999;0.0
Albania;1998;5.0
Albania;1997;6.0
Albania;1996;5.0
Albania;1995;0.0
Albania;1994;3.0
Albania;1993;5.0
Albania;1992;75.0
Albania;1991;150.0
Albania;1990;183.0
Algeria;2014;294.0
Algeria;2013;146.0
Algeria;2012;295.0
Algeria;2011;206.0
Algeria;2010;320.0
Algeria;2009;366.0
Algeria;2008;445.0
Algeria;2007;359.0
Algeria;2006;331.0
Algeria;2005;310.0
Algeria;2004;316.0
Algeria;2003;366.0
Algeria;2002;373.0
Algeria;2001;209.0
Algeria;2000;309.0
Algeria;1999;266.0
Algeria;1998;232.0
Algeria;1997;263.0
Algeria;1996;346.0
Algeria;1995;462.0
Algeria;1994;319.0
Algeria;1993;345.0
Algeria;1992;0.0
Algeria;1991;0.0
Algeria;1990;0.0
Argentina;2014;509.0
Argentina;2013;373.0
Argentina;2012;219.0
Argentina;2011;0.0
Argentina;2010;0.0
Argentina;2009;0.0
Argentina;2008;5.0
Argentina;2007;40.0
Argentina;2006;522.0
Argentina;2005;215.0
Argentina;2004;520.0
Argentina;2003;252.0
Argentina;2002;539.0
Argentina;2001;1421.0
Argentina;2000;1355.0
Argentina;1999;962.0
Argentina;1998;1194.0
Argentina;1997;935.0
Argentina;1996;751.0
Argentina;1995;680.0
Argentina;1994;493.0
Argentina;1993;148.0
Argentina;1992;10.0
Argentina;1991;219.0
Argentina;1990;47.0
Aruba;2014;0.0
Aruba;2013;0.0
Aruba;2012;2500.0
Aruba;2011;10450.0
Aruba;2010;10452.0
Aruba;2009;10438.0
Aruba;2008;10429.0
Aruba;2007;10500.0
Aruba;2006;10380.0
Aruba;2005;10380.0
Aruba;2004;10380.0
Aruba;2003;10380.0
Aruba;2002;10380.0
Aruba;2001;10380.0
Aruba;2000;10380.0
Aruba;1999;325.0
Aruba;1998;322.0
Aruba;1997;321.0
Aruba;1996;315.0
Aruba;1995;312.0
Aruba;1994;310.0
Aruba;1993;308.0
Aruba;1992;302.0
Aruba;1991;375.0
Aruba;1990;375.0
Australia;2014;21835.0
Australia;2013;23348.0
Australia;2012;23340.0
Australia;2011;25045.0
Australia;2010;21145.0
Australia;2009;19047.0
Australia;2008;20410.0
Australia;2007;19678.0
Australia;2006;18837.0
Australia;2005;20070.0
Australia;2004;17958.0
Australia;2003;20282.0
Australia;2002;21152.0
Australia;2001;21153.0
Australia;2000;20138.0
Australia;1999;22421.0
Australia;1998;17806.0
Australia;1997;17770.0
Australia;1996;15002.0
Australia;1995;13415.0
Australia;1994;12726.0
Australia;1993;10445.0
Australia;1992;7980.0
Australia;1991;6427.0
Australia;1990;6039.0
Austria;2014;7510.0
Austria;2013;7778.0
Austria;2012;7473.0
Austria;2011;7293.0
Austria;2010;6795.0
Austria;2009;7424.0
Austria;2008;7864.0
Austria;2007;7591.0
Austria;2006;7699.0
Austria;2005;7833.0
Austria;2004;7562.0
Austria;2003;7819.0
Austria;2002;8118.0
Austria;2001;7940.0
Austria;2000;7314.0
Austria;1999;7698.0
Austria;1998;8269.0
Austria;1997;8450.0
Austria;1996;7737.0
Austria;1995;7590.0
Austria;1994;7790.0
Austria;1993;7453.0
Austria;1992;7550.0
Austria;1991;7000.0
Austria;1990;6797.0
Azerbaijan;2009;1.0
Azerbaijan;2008;0.0
Azerbaijan;2007;0.0
Azerbaijan;2006;0.0
Azerbaijan;2005;0.0
Azerbaijan;2004;0.0
Azerbaijan;2003;0.0
Azerbaijan;2002;0.0
Azerbaijan;2001;0.0
Azerbaijan;2000;0.0
Azerbaijan;1999;0.0
Azerbaijan;1998;91.0
Azerbaijan;1997;261.0
Azerbaijan;1996;0.0
Azerbaijan;1995;42.0
Azerbaijan;1994;853.0
Azerbaijan;1993;1159.0
Azerbaijan;1992;1516.0
Bahrain;2014;10385.0
Bahrain;2013;10735.0
Bahrain;2012;10951.0
Bahrain;2011;10828.0
Bahrain;2010;11702.0
Bahrain;2009;11188.0
Bahrain;2008;11324.0
Bahrain;2007;11354.0
Bahrain;2006;11169.0
Bahrain;2005;11456.0
Bahrain;2004;10855.0
Bahrain;2003;3283.0
Bahrain;2002;3174.0
Bahrain;2001;2883.0
Bahrain;2000;3519.0
Bahrain;1999;4015.0
Bahrain;1998;2997.0
Bahrain;1997;3213.0
Bahrain;1996;11049.0
Bahrain;1995;10536.0
Bahrain;1994;10218.0
Bahrain;1993;10303.0
Bahrain;1992;10938.0
Bahrain;1991;10650.0
Bahrain;1990;10335.0
Bangladesh;2014;1308.0
Bangladesh;2013;1183.0
Bangladesh;2012;1266.0
Bangladesh;2011;1211.0
Bangladesh;2010;1275.0
Bangladesh;2009;1039.0
Bangladesh;2008;1040.0
Bangladesh;2007;1211.0
Bangladesh;2006;1253.0
Bangladesh;2005;1063.0
Bangladesh;2004;1252.0
Bangladesh;2003;1335.0
Bangladesh;2002;1276.0
Bangladesh;2001;1403.0
Bangladesh;2000;1290.0
Bangladesh;1999;1190.0
Bangladesh;1998;1144.0
Bangladesh;1997;1343.0
Bangladesh;1996;1140.0
Bangladesh;1995;1364.0
Bangladesh;1994;1236.0
Bangladesh;1993;1169.0
Bangladesh;1992;1018.0
Bangladesh;1991;1182.0
Bangladesh;1990;948.0
Barbados;1997;178.0
Barbados;1996;158.0
Barbados;1995;164.0
Barbados;1994;118.0
Barbados;1993;200.0
Barbados;1992;142.0
Barbados;1991;220.0
Barbados;1990;225.0
Belarus;2014;22508.0
Belarus;2013;21261.0
Belarus;2012;21669.0
Belarus;2011;20436.0
Belarus;2010;14739.0
Belarus;2009;21509.0
Belarus;2008;21461.0
Belarus;2007;20036.0
Belarus;2006;20906.0
Belarus;2005;19318.0
Belarus;2004;17814.0
Belarus;2003;14885.0
Belarus;2002;14024.0
Belarus;2001;11913.0
Belarus;2000;12010.0
Belarus;1999;9900.0
Belarus;1998;10055.0
Belarus;1997;10461.0
Belarus;1996;10645.0
Belarus;1995;11555.0
Belarus;1994;11300.0
Belarus;1993;12378.0
Belarus;1992;19747.0
Belgium;2014;32188.0
Belgium;2013;27618.0
Belgium;2012;31569.0
Belgium;2011;29853.0
Belgium;2010;33284.0
Belgium;2009;31224.0
Belgium;2008;33825.0
Belgium;2007;32976.0
Belgium;2006;31552.0
Belgium;2005;31965.0
Belgium;2004;34407.0
Belgium;2003;36245.0
Belgium;2002;33440.0
Belgium;2001;31941.0
Belgium;2000;34002.0
Belgium;1999;32128.0
Belgium;1998;34661.0
Belgium;1997;32787.0
Belgium;1996;31591.0
Belgium;1995;26315.0
Belgium;1994;28372.0
Belgium;1993;27558.0
Belgium;1992;29043.0
Belgium;1991;28634.0
Belgium;1990;25091.0
Bosnia and Herzegovina;2014;934.0
Bosnia and Herzegovina;2013;1017.0
Bosnia and Herzegovina;2012;1006.0
Bosnia and Herzegovina;2011;1161.0
Bosnia and Herzegovina;2010;1107.0
Bosnia and Herzegovina;2009;932.0
Bosnia and Herzegovina;2008;106.0
Bosnia and Herzegovina;2007;13.0
Bosnia and Herzegovina;2006;18.0
Bosnia and Herzegovina;2005;135.0
Bosnia and Herzegovina;2004;172.0
Bosnia and Herzegovina;2003;70.0
Bosnia and Herzegovina;2002;233.0
Bosnia and Herzegovina;2001;254.0
Bosnia and Herzegovina;2000;519.0
Brazil;2014;17757.0
Brazil;2013;20006.0
Brazil;2012;17495.0
Brazil;2011;16831.0
Brazil;2010;17182.0
Brazil;2009;19020.0
Brazil;2008;19335.0
Brazil;2007;21081.0
Brazil;2006;16974.0
Brazil;2005;17407.0
Brazil;2004;22866.0
Brazil;2003;17379.0
Brazil;2002;19372.0
Brazil;2001;21188.0
Brazil;2000;20232.0
Brazil;1999;23741.0
Brazil;1998;27973.0
Brazil;1997;29207.0
Brazil;1996;28594.0
Brazil;1995;25353.0
Brazil;1994;27957.0
Brazil;1993;25477.0
Brazil;1992;26566.0
Brazil;1991;26361.0
Brazil;1990;28617.0
Bulgaria;2014;5103.0
Bulgaria;2013;5641.0
Bulgaria;2012;5885.0
Bulgaria;2011;4989.0
Bulgaria;2010;5434.0
Bulgaria;2009;6158.0
Bulgaria;2008;7219.0
Bulgaria;2007;7113.0
