LOCATION,TIME,Value
AUS,1960,
AUS,1961,
AUS,1962,
AUS,1963,
AUS,1964,
AUS,1965,
AUS,1966,
AUS,1967,
AUS,1968,
AUS,1969,
AUS,1970,
AUS,1971,14226.194
AUS,1972,15029.094
AUS,1973,18720.577
AUS,1974,18498.696
AUS,1975,19736.07
AUS,1976,20177.769
AUS,1977,21259.31
AUS,1978,20694.803
AUS,1979,20828.964
AUS,1980,19471.877
AUS,1981,19007.475
AUS,1982,18706.129
AUS,1983,18220.054
AUS,1984,22148.899
AUS,1985,25468.86
AUS,1986,26561.559
AUS,1987,26399.764
AUS,1988,26322.923
AUS,1989,23679.705
AUS,1990,26752.604
AUS,1991,26717.935
AUS,1992,23439.126
AUS,1993,22940.108
AUS,1994,21286.521
AUS,1995,22718.44
AUS,1996,20539.57
AUS,1997,20494.396
AUS,1998,22008.258
AUS,1999,16551.631
AUS,2000,25081.157
AUS,2001,26611.828
AUS,2002,30307.711
AUS,2003,29403.176
AUS,2004,25785.035
AUS,2005,22928.552
AUS,2006,20414.553
AUS,2007,23214.306
AUS,2008,21500.836
AUS,2009,22170.045
AUS,2010,23141.817
AUS,2011,22232.029
AUS,2012,20728.672
AUS,2013,17979.347
AUS,2014,16925.631
AUS,2015,16313.153
AUT,1960,
AUT,1961,
AUT,1962,
AUT,1963,
AUT,1964,
AUT,1965,
AUT,1966,
AUT,1967,
AUT,1968,
AUT,1969,
AUT,1970,
AUT,1971,2628.081
AUT,1972,2515.406
AUT,1973,2635.187
AUT,1974,2295.13
AUT,1975,2067.749
AUT,1976,1960.149
AUT,1977,1788.597
AUT,1978,1818.035
AUT,1979,1752.054
AUT,1980,1469.858
AUT,1981,1324.699
AUT,1982,1280.035
AUT,1983,1255.673
AUT,1984,1192.737
AUT,1985,1137.922
AUT,1986,1110.514
AUT,1987,1062.805
AUT,1988,1192.737
AUT,1989,1173.45
AUT,1990,1166.344
AUT,1991,1299.322
AUT,1992,1197.812
AUT,1993,1171.42
AUT,1994,1115.589
AUT,1995,1050.623
AUT,1996,1006.974
AUT,1997,986.905
AUT,1998,973.476
AUT,1999,1020.284
AUT,2000,989.322
AUT,2001,971.446
AUT,2002,962.31
AUT,2003,932.872
AUT,2004,985.657
AUT,2005,867.906
AUT,2006,868.921
AUT,2007,865.876
AUT,2008,875.012
AUT,2009,922.721
AUT,2010,890.238
AUT,2011,850.65
AUT,2012,851.665
AUT,2013,855.725
AUT,2014,903.435
AUT,2015,865.876
BEL,1960,
BEL,1961,
BEL,1962,
BEL,1963,
BEL,1964,
BEL,1965,
BEL,1966,
BEL,1967,
BEL,1968,
BEL,1969,
BEL,1970,
BEL,1971,0
BEL,1972,0
BEL,1973,0
BEL,1974,0
BEL,1975,0
BEL,1976,0
BEL,1977,0
BEL,1978,0
BEL,1979,0
BEL,1980,0
BEL,1981,0
BEL,1982,0
BEL,1983,0
BEL,1984,0
BEL,1985,0
BEL,1986,0
BEL,1987,0
BEL,1988,0
BEL,1989,0
BEL,1990,0
BEL,1991,0
BEL,1992,0
BEL,1993,0
BEL,1994,0
BEL,1995,0
BEL,1996,0
BEL,1997,0
BEL,1998,0
BEL,1999,0
BEL,2000,0
BEL,2001,0
BEL,2002,0
BEL,2003,0
BEL,2004,0
BEL,2005,0
BEL,2006,0
BEL,2007,0
BEL,2008,0
BEL,2009,0
BEL,2010,0
BEL,2011,0
BEL,2012,0
BEL,2013,0
BEL,2014,0
BEL,2015,0
CAN,1960,
CAN,1961,
CAN,1962,
CAN,1963,
CAN,1964,
CAN,1965,
CAN,1966,
CAN,1967,
CAN,1968,
CAN,1969,
CAN,1970,
CAN,1971,67007.824
CAN,1972,77035.899
CAN,1973,90370.215
CAN,1974,84632.586
CAN,1975,79325.228
CAN,1976,72727.056
CAN,1977,72847.655
CAN,1978,71739.784
CAN,1979,79991.586
CAN,1980,65540.201
CAN,1981,58534.243
CAN,1982,57339.499
CAN,1983,59548.088
CAN,1984,66797.287
CAN,1985,66419.139
CAN,1986,66554.046
CAN,1987,70292.601
CAN,1988,73515.035
CAN,1989,70081.043
CAN,1990,69998.259
CAN,1991,68728.908
CAN,1992,71553.776
CAN,1993,74872.28
CAN,1994,77323.088
CAN,1995,79944.573
CAN,1996,81793.41
CAN,1997,86451.784
CAN,1998,91123.445
CAN,1999,84443.512
CAN,2000,89873.513
CAN,2001,90223.044
CAN,2002,93116.387
CAN,2003,101441.775
CAN,2004,104830.799
CAN,2005,114383.635
CAN,2006,115490.484
CAN,2007,109452.38
CAN,2008,110046.175
CAN,2009,103680.002
CAN,2010,110424.323
CAN,2011,117003.076
CAN,2012,127611.66
CAN,2013,138332.666
CAN,2014,152664.475
CAN,2015,157976.943
CZE,1960,
CZE,1961,
CZE,1962,
CZE,1963,
CZE,1964,
CZE,1965,
CZE,1966,
CZE,1967,
CZE,1968,
CZE,1969,
CZE,1970,
CZE,1971,34.93
CZE,1972,38.922
CZE,1973,42.914
