LOCATION,TIME,Value
AUS,1981,3.69951325
AUS,1984,4.345191459
AUS,1985,4.334834688
AUS,1986,4.961050131
AUS,1987,5.058185541
AUS,1988,5.277571107
AUS,1990,5.530158335
AUS,1992,6.833450497
AUS,1994,7.050000342
AUS,1996,7.311010574
AUS,1998,7.315561215
AUS,2000,7.341721069
AUS,2002,7.824333594
AUS,2004,8.340697397
AUS,2006,8.459025154
AUS,2008,8.56200096
AUS,2010,8.981539619
AUT,1981,1.937868114
AUT,1985,2.226416199
AUT,1989,2.516060447
AUT,1993,3.559508544
AUT,1998,5.105563391
AUT,2002,6.382256533
AUT,2004,6.779823943
AUT,2005,7.349212536
AUT,2006,7.408280391
AUT,2007,7.891870344
AUT,2008,8.436577089
AUT,2009,8.511296029
AUT,2010,8.917451008
AUT,2011,8.908758782
AUT,2012,9.430722233
AUT,2013,9.570998352
AUT,2014,9.756940861
AUT,2015,9.867550749
BEL,1981,3.366102826
BEL,1982,3.58755443
BEL,1983,3.640852766
BEL,1984,3.76748635
BEL,1985,3.975031727
BEL,1986,4.20622149
BEL,1987,4.273441205
BEL,1988,4.358552024
BEL,1989,4.558880633
BEL,1991,4.638122637
BEL,1993,5.439638179
BEL,1994,5.872639263
BEL,1995,6.026142308
BEL,1996,6.479912063
BEL,1997,6.726318868
BEL,1998,6.944879452
BEL,1999,7.381588687
BEL,2000,7.432376491
BEL,2001,7.739485248
BEL,2002,7.376924139
BEL,2003,7.442914693
BEL,2004,7.723940122
BEL,2005,7.789348377
BEL,2006,8.105912245
BEL,2007,8.303256516
BEL,2008,8.258355176
BEL,2009,8.598482432
BEL,2010,9.126409134
BEL,2011,9.411688804
BEL,2012,10.01015675
BEL,2013,10.20992467
BEL,2014,10.28246184
BEL,2015,11.97238981
CAN,1981,3.537546898
CAN,1982,3.99411065
CAN,1983,4.09554301
CAN,1984,4.271196316
CAN,1985,4.456017573
CAN,1986,4.719027669
CAN,1987,4.738401988
CAN,1988,4.811047464
CAN,1989,4.812643356
CAN,1990,4.92296667
CAN,1991,5.164804032
CAN,1992,5.534784708
CAN,1993,5.734053825
CAN,1994,6.408140048
CAN,1995,6.41241277
CAN,1996,6.581439395
CAN,1997,6.637662215
CAN,1998,6.633538685
CAN,1999,6.696964852
CAN,2000,7.161258058
CAN,2001,7.525536945
CAN,2002,7.438459195
CAN,2003,7.738944544
CAN,2004,8.053017241
CAN,2005,8.319799205
CAN,2006,8.42168287
CAN,2007,8.861390646
CAN,2008,9.053745382
CAN,2009,8.801696122
CAN,2010,9.13329014
CAN,2011,9.348424442
CAN,2012,9.063107756
CAN,2013,8.822073861
CZE,1995,2.337851233
CZE,1996,2.525920252
CZE,1997,2.468610092
CZE,1998,2.509392749
CZE,1999,2.762412898
CZE,2000,2.850592292
CZE,2001,3.092404862
CZE,2002,3.070472407
CZE,2003,3.267633418
CZE,2004,3.375450829
CZE,2005,4.909777984
CZE,2006,5.26506861
CZE,2007,5.473599485
CZE,2008,5.72343675
CZE,2009,5.627934757
CZE,2010,5.779411857
CZE,2011,6.083467151
CZE,2012,6.558665393
CZE,2013,6.745045395
CZE,2014,7.054204891
