LOCATION,FREQUENCY,TIME,Value
AUS,A,1958,3.094338
AUS,A,1959,3.856513
AUS,A,1960,4.697565
AUS,A,1961,4.327078
AUS,A,1962,4.355825
AUS,A,1963,4.769614
AUS,A,1964,5.362716
AUS,A,1965,4.708345
AUS,A,1966,4.679058
AUS,A,1967,5.485972
AUS,A,1968,7.878505
AUS,A,1969,8.664936
AUS,A,1970,8.302714
AUS,A,1971,6.93432
AUS,A,1972,8.335415
AUS,A,1973,7.793519
AUS,A,1974,5.781894
AUS,A,1975,5.438358
AUS,A,1976,6.73111
AUS,A,1977,6.456029
AUS,A,1978,7.315947
AUS,A,1979,9.046562
AUS,A,1980,13.70154
AUS,A,1981,13.85876
AUS,A,1982,10.61673
AUS,A,1983,13.76946
AUS,A,1984,15.64489
AUS,A,1985,19.5617
AUS,A,1986,26.38676
AUS,A,1987,36.75785
AUS,A,1988,31.94773
AUS,A,1989,34.29691
AUS,A,1990,31.69001
AUS,A,1991,32.94814
AUS,A,1992,34.10815
AUS,A,1993,38.68587
AUS,A,1994,43.20663
AUS,A,1995,43.03954
AUS,A,1996,47.6081
AUS,A,1997,53.79641
AUS,A,1998,56.30447
AUS,A,1999,62.53968
AUS,A,2000,69.15005
AUS,A,2001,71.17587
AUS,A,2002,69.56403
AUS,A,2003,66.18256
AUS,A,2004,76.48217
AUS,A,2005,92.94584
AUS,A,2006,110.3672
AUS,A,2007,133.8672
AUS,A,2008,107.6647
AUS,A,2009,87.97445
AUS,A,2010,100
AUS,A,2011,96.7878
AUS,A,2012,92.8357
AUS,A,2013,109.3085
AUS,A,2014,116.7761
AUS,A,2015,118.4209
AUS,A,2016,113.7668
AUT,A,1957,5.244009
AUT,A,1958,4.814914
AUT,A,1959,6.350099
AUT,A,1960,8.663807
AUT,A,1961,13.88966
AUT,A,1962,14.45141
AUT,A,1963,11.91315
AUT,A,1964,11.33435
AUT,A,1965,10.84634
AUT,A,1966,10.3146
AUT,A,1967,9.752109
AUT,A,1968,10.32656
AUT,A,1969,10.34818
AUT,A,1970,11.55244
AUT,A,1971,11.73396
AUT,A,1972,12.75671
AUT,A,1973,15.12157
AUT,A,1974,14.29611
AUT,A,1975,14.21634
AUT,A,1976,14.43055
AUT,A,1977,13.55427
AUT,A,1978,12.6765
AUT,A,1979,12.77729
AUT,A,1980,13.27729
AUT,A,1981,11.90772
AUT,A,1982,10.57355
AUT,A,1983,11.36683
AUT,A,1984,11.7364
AUT,A,1985,21.5668
AUT,A,1986,28.10557
AUT,A,1987,23.8864
AUT,A,1988,22.70969
AUT,A,1989,39.29568
AUT,A,1990,64.71992
AUT,A,1991,53.92213
AUT,A,1992,42.82444
AUT,A,1993,41.80761
AUT,A,1994,47.96435
AUT,A,1995,41.54972
AUT,A,1996,43.55155
AUT,A,1997,49.27637
AUT,A,1998,55.51288
AUT,A,1999,50.22851
AUT,A,2000,49.80854
AUT,A,2001,49.86059
AUT,A,2002,50.52694
AUT,A,2003,56.22422
AUT,A,2004,80.57722
AUT,A,2005,117.3608
AUT,A,2006,153.0941
AUT,A,2007,182.4745
AUT,A,2008,131.2722
AUT,A,2009,82.95629
AUT,A,2010,100
AUT,A,2011,100.8656
AUT,A,2012,87.36012
AUT,A,2013,98.46409
AUT,A,2014,97.32407
AUT,A,2015,98.16923
AUT,A,2016,95.18232
BEL,A,1986,29.89273
BEL,A,1987,35.95992
BEL,A,1988,37.72751
BEL,A,1989,46.2786
BEL,A,1990,42.39986
BEL,A,1991,39.79399
BEL,A,1992,38.64137
BEL,A,1993,42.64207
BEL,A,1994,47.57724
BEL,A,1995,46.53283
BEL,A,1996,56.11115
BEL,A,1997,75.01012
BEL,A,1998,104.0388
BEL,A,1999,107.5156
BEL,A,2000,97.02423
BEL,A,2001,91.1825
BEL,A,2002,81.21889
BEL,A,2003,68.94526
BEL,A,2004,90.34868
BEL,A,2005,116.8435
BEL,A,2006,144.9924
BEL,A,2007,164.7231
BEL,A,2008,120.2489
BEL,A,2009,83.58643
BEL,A,2010,100
BEL,A,2011,96.40836
BEL,A,2012,99.3214
BEL,A,2013,115.1448
BEL,A,2014,135.9542
BEL,A,2015,154.778
BEL,A,2016,147.3987
CAN,A,1956,4.68319
CAN,A,1957,4.494936
CAN,A,1958,4.025722
CAN,A,1959,4.651903
CAN,A,1960,4.263052
CAN,A,1961,5.250463
CAN,A,1962,5.226418
CAN,A,1963,5.533144
CAN,A,1964,6.500183
CAN,A,1965,7.272285
CAN,A,1966,6.982211
CAN,A,1967,7.263351
CAN,A,1968,7.608682
CAN,A,1969,8.627843
CAN,A,1970,7.854774
CAN,A,1971,8.262547
CAN,A,1972,9.603006
CAN,A,1973,10.24179
CAN,A,1974,8.726674
CAN,A,1975,8.469081
CAN,A,1976,8.669381
CAN,A,1977,8.369007
CAN,A,1978,9.552017
CAN,A,1979,12.86483
CAN,A,1980,17.43597
CAN,A,1981,18.02388
CAN,A,1982,13.53732
CAN,A,1983,19.50251
CAN,A,1984,19.47826
CAN,A,1985,22.25547
CAN,A,1986,24.8419
CAN,A,1987,29.75128
CAN,A,1988,27.24849
CAN,A,1989,31.28971
CAN,A,1990,28.34189
CAN,A,1991,28.74235
CAN,A,1992,28.19074
CAN,A,1993,32.34367
CAN,A,1994,35.49041
CAN,A,1995,36.73152
CAN,A,1996,43.64168
CAN,A,1997,53.50158
CAN,A,1998,55.97913
CAN,A,1999,58.47972
CAN,A,2000,80.27003
CAN,A,2001,64.43713
CAN,A,2002,58.46644
CAN,A,2003,58.99414
CAN,A,2004,71.23362
CAN,A,2005,83.69062
CAN,A,2006,99.14794
CAN,A,2007,112.8531
CAN,A,2008,103.4417
CAN,A,2009,84.17635
CAN,A,2010,100
CAN,A,2011,107.4365
CAN,A,2012,100.2337
CAN,A,2013,105.6076
CAN,A,2014,121.2597
CAN,A,2015,118.7891
CAN,A,2016,116.312
CZE,A,1994,68.00838
CZE,A,1995,37.40141
CZE,A,1996,44.45908
CZE,A,1997,45.33418
CZE,A,1998,37.57216
CZE,A,1999,38.83856
CZE,A,2000,46.95901
CZE,A,2001,35.09927
CZE,A,2002,37.36292
CZE,A,2003,47.62059
CZE,A,2004,70.60272
CZE,A,2005,107.0732
CZE,A,2006,126.3173
CZE,A,2007,151.594
CZE,A,2008,116.0168
CZE,A,2009,82.1534
CZE,A,2010,100
CZE,A,2011,94.89144
CZE,A,2012,81.0754
CZE,A,2013,83.12668
CZE,A,2014,84.47219
CZE,A,2015,85.15754
CZE,A,2016,75.37163
DNK,A,1983,12.39372
DNK,A,1984,14.15138
DNK,A,1985,15.78671
DNK,A,1986,16.43698
DNK,A,1987,15.50986
DNK,A,1988,17.09368
DNK,A,1989,25.00635
DNK,A,1990,27.65893
DNK,A,1991,27.46578
DNK,A,1992,23.58349
DNK,A,1993,24.38184
DNK,A,1994,28.56673
DNK,A,1995,27.51729
DNK,A,1996,32.23656
DNK,A,1997,45.88853
DNK,A,1998,53.39855
DNK,A,1999,51.65844
DNK,A,2000,69.8144
DNK,A,2001,66.27433
DNK,A,2002,54.64816
DNK,A,2003,53.93
DNK,A,2004,69.00014
DNK,A,2005,89.6562
DNK,A,2006,106.8545
DNK,A,2007,132.4322
DNK,A,2008,102.3975
DNK,A,2009,75.07384
DNK,A,2010,100
DNK,A,2011,100.9806
DNK,A,2012,108.3876
DNK,A,2013,130.1398
DNK,A,2014,168.3996
DNK,A,2015,210.1198
DNK,A,2016,208.5006
FIN,A,1957,0.7971748
FIN,A,1958,0.7130691
FIN,A,1959,0.808145
FIN,A,1960,0.9982968
FIN,A,1961,0.9854981
FIN,A,1962,0.9690427
FIN,A,1963,1.022066
FIN,A,1964,1.04035
FIN,A,1965,0.9909833
FIN,A,1966,0.9251615
FIN,A,1967,0.8337424
FIN,A,1968,1.05132
FIN,A,1969,1.409683
FIN,A,1970,1.632746
FIN,A,1971,1.844838
FIN,A,1972,2.455518
FIN,A,1973,3.817662
FIN,A,1974,3.700646
FIN,A,1975,3.340455
FIN,A,1976,3.000376
FIN,A,1977,2.453689
FIN,A,1978,2.37324
FIN,A,1979,2.896158
FIN,A,1980,3.084481
FIN,A,1981,3.177729
FIN,A,1982,4.249161
FIN,A,1983,6.477959
FIN,A,1984,9.101687
FIN,A,1985,7.819992
FIN,A,1986,11.92471
FIN,A,1987,18.57376
FIN,A,1988,24.49266
FIN,A,1989,26.48698
FIN,A,1990,19.28326
FIN,A,1991,13.94815
FIN,A,1992,11.23829
FIN,A,1993,17.92108
FIN,A,1994,26.77827
FIN,A,1995,27.72104
FIN,A,1996,29.54856
FIN,A,1997,46.36854
FIN,A,1998,65.64575
FIN,A,1999,113.009
FIN,A,2000,215.8493
FIN,A,2001,124.2059
FIN,A,2002,96.19031
FIN,A,2003,82.2609
FIN,A,2004,88.42109
FIN,A,2005,103.6943
FIN,A,2006,129.5117
FIN,A,2007,161.1078
FIN,A,2008,122.4572
FIN,A,2009,82.27301
FIN,A,2010,100
FIN,A,2011,94.14571
FIN,A,2012,80.62579
FIN,A,2013,93.81724
FIN,A,2014,109.0838
FIN,A,2015,123.1206
FIN,A,2016,118.8088
FRA,A,1955,3.916884
FRA,A,1956,4.147232
FRA,A,1957,5.595969
FRA,A,1958,4.655956
FRA,A,1959,5.892922
FRA,A,1960,7.130672
FRA,A,1961,8.326611
FRA,A,1962,8.799368
FRA,A,1963,7.616072
FRA,A,1964,6.67506
FRA,A,1965,6.212846
FRA,A,1966,5.806877
FRA,A,1967,5.294908
FRA,A,1968,5.627327
FRA,A,1969,7.085356
FRA,A,1970,7.373067
FRA,A,1971,7.058675
FRA,A,1972,7.915321
FRA,A,1973,8.729697
FRA,A,1975,7.037743
FRA,A,1976,6.957424
FRA,A,1977,5.582793
FRA,A,1978,7.29779
FRA,A,1980,10.71462
FRA,A,1981,9.440055
FRA,A,1982,9.197318
FRA,A,1983,12.4151
FRA,A,1984,16.76763
FRA,A,1985,19.83241
FRA,A,1986,30.4905
FRA,A,1987,34.68004
FRA,A,1988,32.07216
FRA,A,1989,46.21881
FRA,A,1990,44.21749
FRA,A,1991,41.72509
FRA,A,1992,43.1089
FRA,A,1993,47.95325
FRA,A,1994,50.84441
FRA,A,1995,45.65087
FRA,A,1996,51.97852
FRA,A,1997,67.11346
FRA,A,1998,87.75739
FRA,A,1999,107.1089
FRA,A,2000,146.836
FRA,A,2001,118.7741
FRA,A,2002,92.94862
FRA,A,2003,77.72699
FRA,A,2004,92.87032
FRA,A,2005,109.3386
FRA,A,2006,132.8549
FRA,A,2007,150.3076
FRA,A,2008,112.9226
FRA,A,2009,87.35761
FRA,A,2010,100
FRA,A,2011,98.05369
FRA,A,2012,92.66948
FRA,A,2013,109.9759
FRA,A,2014,122.3354
FRA,A,2015,137.2091
FRA,A,2016,126.7308
DEU,A,1960,17.78317
DEU,A,1961,18.22213
DEU,A,1962,14.14972
DEU,A,1963,13.65589
DEU,A,1964,15.68206
DEU,A,1965,13.97173
DEU,A,1966,11.83448
DEU,A,1967,12.0727
DEU,A,1968,15.86139
DEU,A,1969,17.27061
DEU,A,1970,15.29683
DEU,A,1971,14.73065
DEU,A,1972,16.15219
DEU,A,1973,15.07456
DEU,A,1974,12.64307
DEU,A,1975,14.93416
DEU,A,1976,15.83032
DEU,A,1977,15.90888
DEU,A,1978,17.21587
DEU,A,1979,16.53767
DEU,A,1980,15.87137
DEU,A,1981,16.22036
DEU,A,1982,16.47152
DEU,A,1983,21.98534
DEU,A,1984,25.0811
DEU,A,1985,34.12609
DEU,A,1986,47.81434
DEU,A,1987,41.47988
DEU,A,1988,34.57113
DEU,A,1989,44.42485
DEU,A,1990,52.32353
DEU,A,1991,47.17187
DEU,A,1992,45.21279
DEU,A,1993,47.82093
DEU,A,1994,54.93928
DEU,A,1995,53.60771
DEU,A,1996,60.54915
DEU,A,1997,82.95647
DEU,A,1998,106.0402
DEU,A,1999,109.8454
DEU,A,2000,139.5008
DEU,A,2001,105.2789
DEU,A,2002,80.69098
DEU,A,2003,62.58072
DEU,A,2004,76.98113
DEU,A,2005,89.05573
DEU,A,2006,111.087
DEU,A,2007,138.0032
DEU,A,2008,109.8215
DEU,A,2009,82.61433
DEU,A,2010,100
DEU,A,2011,104.8496
DEU,A,2012,105.2252
DEU,A,2013,124.6525
DEU,A,2014,139.4942
DEU,A,2015,157.7535
DEU,A,2016,144.9649
GRC,A,1985,2.740156
GRC,A,1986,4.287375
GRC,A,1987,12.98593
GRC,A,1988,17.34011
GRC,A,1989,21.29678
GRC,A,1990,61.34195
GRC,A,1991,60.33758
GRC,A,1992,47.44963
GRC,A,1993,48.75512
GRC,A,1994,55.94878
GRC,A,1995,53.8483
GRC,A,1996,56.73963
GRC,A,1997,89.6159
GRC,A,1998,132.5275
GRC,A,1999,269.0484
GRC,A,2000,253.6649
GRC,A,2001,165.2154
GRC,A,2002,126.0526
GRC,A,2003,111.6635
GRC,A,2004,142.5264
GRC,A,2005,184.3568
GRC,A,2006,233.4971
GRC,A,2007,284.754
GRC,A,2008,198.9999
GRC,A,2009,127.1746
GRC,A,2010,100
GRC,A,2011,68.21204
GRC,A,2012,41.6177
GRC,A,2013,58.42324
GRC,A,2014,67.17686
GRC,A,2015,43.28737
GRC,A,2016,33.71113
HUN,A,1991,4.479139
HUN,A,1992,3.993896
HUN,A,1993,4.162192
HUN,A,1994,7.32795
HUN,A,1995,6.331144
HUN,A,1996,13.25652
HUN,A,1997,29.06047
HUN,A,1998,31.38177
HUN,A,1999,29.87897
HUN,A,2000,38.88722
HUN,A,2001,30.68717
HUN,A,2002,34.53299
HUN,A,2003,37.33154
HUN,A,2004,52.19643
HUN,A,2005,84.47419
HUN,A,2006,100.2132
HUN,A,2007,116.0421
HUN,A,2008,87.83056
HUN,A,2009,71.36392
HUN,A,2010,100
HUN,A,2011,91.33344
HUN,A,2012,80.3541
HUN,A,2013,82.97609
HUN,A,2014,79.7459
HUN,A,2015,93.52644
HUN,A,2016,120.5928
ISL,A,1993,60.72467
ISL,A,1994,64.37856
ISL,A,1995,83.34312
ISL,A,1996,135.8712
ISL,A,1997,189.8162
ISL,A,1998,179.0224
ISL,A,1999,216.815
ISL,A,2000,273.2859
ISL,A,2001,199.8278
ISL,A,2002,236.9016
ISL,A,2003,291.3457
ISL,A,2004,505.1928
ISL,A,2005,710.4146
ISL,A,2006,976.6817
ISL,A,2007,1246.917
ISL,A,2008,625.0995
ISL,A,2009,82.69572
ISL,A,2010,100
ISL,A,2011,107.0862
ISL,A,2012,115.3923
ISL,A,2013,137.6057
ISL,A,2014,154.0173
ISL,A,2015,202.2488
ISL,A,2016,224.9546
IRL,A,1955,1.636424
IRL,A,1956,1.479628
IRL,A,1957,1.344708
IRL,A,1958,1.340569
IRL,A,1959,1.780686
IRL,A,1960,2.240431
IRL,A,1961,2.653587
IRL,A,1962,3.039073
IRL,A,1963,3.70717
IRL,A,1964,4.618738
IRL,A,1965,4.486065
IRL,A,1966,4.186781
IRL,A,1967,4.178858
IRL,A,1968,5.960017
IRL,A,1969,6.300214
IRL,A,1970,5.542604
IRL,A,1971,5.374456
IRL,A,1972,7.908968
IRL,A,1973,9.342716
IRL,A,1974,6.27621
IRL,A,1975,6.106289
IRL,A,1976,6.472974
IRL,A,1977,8.12879
IRL,A,1978,12.30611
IRL,A,1979,13.16813
IRL,A,1980,12.94784
IRL,A,1981,13.43123
IRL,A,1982,10.99499
IRL,A,1983,14.68901
IRL,A,1984,18.78198
IRL,A,1985,20.16138
IRL,A,1986,31.25775
IRL,A,1987,45.31474
IRL,A,1988,44.90323
IRL,A,1989,56.4428
IRL,A,1990,52.75853
IRL,A,1991,47.33162
IRL,A,1992,44.53598
IRL,A,1993,54.29691
IRL,A,1994,63.41708
IRL,A,1995,68.69955
IRL,A,1996,85.64828
IRL,A,1997,115.8012
IRL,A,1998,163.3077
IRL,A,1999,171.1044
IRL,A,2000,182.4867
IRL,A,2001,195.4367
IRL,A,2002,159.621
IRL,A,2003,148.3133
IRL,A,2004,186.1508
IRL,A,2005,223.132
IRL,A,2006,272.2733
IRL,A,2007,297.809
IRL,A,2008,167.5446
IRL,A,2009,92.6735
IRL,A,2010,100
IRL,A,2011,95.1273
IRL,A,2012,108.7625
IRL,A,2013,138.0709
IRL,A,2014,165.6707
IRL,A,2015,211.9127
IRL,A,2016,209.7852
ITA,A,1957,5.692007
ITA,A,1958,5.718648
ITA,A,1959,8.769953
ITA,A,1960,13.14239
ITA,A,1961,15.01047
ITA,A,1962,12.73179
ITA,A,1963,11.00946
ITA,A,1964,8.443978
ITA,A,1965,8.364053
ITA,A,1966,9.903026
ITA,A,1967,9.110031
ITA,A,1968,8.975253
ITA,A,1969,10.01743
ITA,A,1970,9.758844
ITA,A,1971,7.627477
ITA,A,1972,7.227845
ITA,A,1973,9.335706
ITA,A,1974,8.547413
ITA,A,1975,6.342338
ITA,A,1976,5.538424
ITA,A,1977,4.586264
ITA,A,1978,4.868361
ITA,A,1979,6.220572
ITA,A,1980,9.997418
