LOCATION,FREQUENCY,TIME,Value
CHE,Q,1974-Q1,10.84317
CHE,Q,1974-Q2,9.5197
CHE,Q,1974-Q3,11.06387
CHE,Q,1974-Q4,9.234233
CHE,Q,1975-Q1,5.3969
CHE,Q,1975-Q2,4.180933
CHE,Q,1975-Q3,3.355233
CHE,Q,1975-Q4,3.3253
CHE,Q,1976-Q1,1.537933
CHE,Q,1976-Q2,1.2417
CHE,Q,1976-Q3,1.302067
CHE,Q,1976-Q4,2.017833
CHE,Q,1977-Q1,1.976133
CHE,Q,1977-Q2,3.521267
CHE,Q,1977-Q3,2.627533
CHE,Q,1977-Q4,2.2326
CHE,Q,1978-Q1,0.6676334
CHE,Q,1978-Q2,1.043967
CHE,Q,1978-Q3,0.9977334
CHE,Q,1978-Q4,0.2167
CHE,Q,1979-Q1,0.1387667
CHE,Q,1979-Q2,1.384233
CHE,Q,1979-Q3,1.571
CHE,Q,1979-Q4,4.0404
CHE,Q,1980-Q1,5.705333
CHE,Q,1980-Q2,6.078267
CHE,Q,1980-Q3,5.437467
CHE,Q,1980-Q4,5.860533
CHE,Q,1981-Q1,7.017433
CHE,Q,1981-Q2,9.5066
CHE,Q,1981-Q3,9.787267
CHE,Q,1981-Q4,10.06977
CHE,Q,1982-Q1,7.737633
CHE,Q,1982-Q2,4.653733
CHE,Q,1982-Q3,4.134467
CHE,Q,1982-Q4,3.705633
CHE,Q,1983-Q1,3.0939
CHE,Q,1983-Q2,4.542967
CHE,Q,1983-Q3,4.5786
CHE,Q,1983-Q4,4.1514
CHE,Q,1984-Q1,3.5666
CHE,Q,1984-Q2,3.8781
CHE,Q,1984-Q3,4.8776
CHE,Q,1984-Q4,5.074567
CHE,Q,1985-Q1,5.506533
CHE,Q,1985-Q2,5.2073
CHE,Q,1985-Q3,4.7406
CHE,Q,1985-Q4,4.239567
CHE,Q,1986-Q1,3.953933
CHE,Q,1986-Q2,4.499067
CHE,Q,1986-Q3,4.421033
CHE,Q,1986-Q4,3.998933
CHE,Q,1987-Q1,3.712233
CHE,Q,1987-Q2,3.7605
CHE,Q,1987-Q3,3.711567
CHE,Q,1987-Q4,3.9142
CHE,Q,1988-Q1,1.867933
CHE,Q,1988-Q2,2.495133
CHE,Q,1988-Q3,3.6569
CHE,Q,1988-Q4,4.2995
CHE,Q,1989-Q1,5.958333
CHE,Q,1989-Q2,7.458333
CHE,Q,1989-Q3,7.479167
CHE,Q,1989-Q4,8.375
CHE,Q,1990-Q1,9.333333
CHE,Q,1990-Q2,9.0625
CHE,Q,1990-Q3,8.609377
CHE,Q,1990-Q4,8.666667
CHE,Q,1991-Q1,8.333333
CHE,Q,1991-Q2,8.208333
CHE,Q,1991-Q3,8.083333
CHE,Q,1991-Q4,8.229167
CHE,Q,1992-Q1,8.041667
CHE,Q,1992-Q2,9.1875
CHE,Q,1992-Q3,7.828126
CHE,Q,1992-Q4,6.359376
CHE,Q,1993-Q1,5.375
CHE,Q,1993-Q2,5.104167
CHE,Q,1993-Q3,4.75
CHE,Q,1993-Q4,4.395833
CHE,Q,1994-Q1,4.145837
CHE,Q,1994-Q2,4.19271
CHE,Q,1994-Q3,4.291667
CHE,Q,1994-Q4,4.125003
CHE,Q,1995-Q1,3.791667
CHE,Q,1995-Q2,3.296877
CHE,Q,1995-Q3,2.69792
CHE,Q,1995-Q4,2.00521
CHE,Q,1996-Q1,1.72917
CHE,Q,1996-Q2,2.354167
CHE,Q,1996-Q3,2.078127
CHE,Q,1996-Q4,1.916667
CHE,Q,1997-Q1,1.78646
CHE,Q,1997-Q2,1.458333
CHE,Q,1997-Q3,1.510417
CHE,Q,1997-Q4,1.796877
CHE,Q,1998-Q1,1.22396
CHE,Q,1998-Q2,1.791667
CHE,Q,1998-Q3,1.709637
CHE,Q,1998-Q4,1.47151
CHE,Q,1999-Q1,1.260557
CHE,Q,1999-Q2,1.079443
CHE,Q,1999-Q3,1.378333
CHE,Q,1999-Q4,1.91778
CHE,Q,2000-Q1,2.476113
CHE,Q,2000-Q2,3.266667
CHE,Q,2000-Q3,3.50389
CHE,Q,2000-Q4,3.446667
CHE,Q,2001-Q1,3.39111
CHE,Q,2001-Q2,3.205557
CHE,Q,2001-Q3,2.876667
CHE,Q,2001-Q4,1.97722
CHE,Q,2002-Q1,1.69
CHE,Q,2002-Q2,1.348333
CHE,Q,2002-Q3,0.77389
CHE,Q,2002-Q4,0.7016667
CHE,Q,2003-Q1,0.49611
CHE,Q,2003-Q2,0.2927767
CHE,Q,2003-Q3,0.26917
CHE,Q,2003-Q4,0.2586133
CHE,Q,2004-Q1,0.2516667
CHE,Q,2004-Q2,0.3433333
CHE,Q,2004-Q3,0.6166667
CHE,Q,2004-Q4,0.72778
CHE,Q,2005-Q1,0.76111
CHE,Q,2005-Q2,0.7527767
CHE,Q,2005-Q3,0.7683333
CHE,Q,2005-Q4,0.9566666
CHE,Q,2006-Q1,1.149723
CHE,Q,2006-Q2,1.427777
CHE,Q,2006-Q3,1.680277
CHE,Q,2006-Q4,1.970833
CHE,Q,2007-Q1,2.235
CHE,Q,2007-Q2,2.506667
CHE,Q,2007-Q3,2.79639
CHE,Q,2007-Q4,2.751667
CHE,Q,2008-Q1,2.778333
CHE,Q,2008-Q2,2.791943
CHE,Q,2008-Q3,2.81861
CHE,Q,2008-Q4,1.545
CHE,Q,2009-Q1,0.475
CHE,Q,2009-Q2,0.3988867
CHE,Q,2009-Q3,0.3216667
CHE,Q,2009-Q4,0.2545
CHE,Q,2010-Q1,0.24889
CHE,Q,2010-Q2,0.1552767
CHE,Q,2010-Q3,0.1716667
CHE,Q,2010-Q4,0.17
CHE,Q,2011-Q1,0.1733333
CHE,Q,2011-Q2,0.17861
CHE,Q,2011-Q3,0.06777667
CHE,Q,2011-Q4,0.04889
CHE,Q,2012-Q1,0.08889
CHE,Q,2012-Q2,0.09872334
CHE,Q,2012-Q3,0.05
CHE,Q,2012-Q4,0.02466667
CHE,Q,2013-Q1,0.022
CHE,Q,2013-Q2,0.01833333
CHE,Q,2013-Q3,0.01933333
CHE,Q,2013-Q4,0.019
CHE,Q,2014-Q1,0.02066667
CHE,Q,2014-Q2,0.01233333
CHE,Q,2014-Q3,0.014
CHE,Q,2014-Q4,-0.01566667
CHE,Q,2015-Q1,-0.8393334
CHE,Q,2015-Q2,-0.7903333
CHE,Q,2015-Q3,-0.732
CHE,Q,2015-Q4,-0.7733333
CHE,Q,2016-Q1,-0.7636
CHE,Q,2016-Q2,-0.7481334
CHE,Q,2016-Q3,-0.7446667
CHE,Q,2016-Q4,-0.7360666
FRA,Q,1970-Q1,9.92
FRA,Q,1970-Q2,9.186666
FRA,Q,1970-Q3,8.673333
FRA,Q,1970-Q4,7.92
FRA,Q,1971-Q1,6.376667
FRA,Q,1971-Q2,6.49
FRA,Q,1971-Q3,6.37
FRA,Q,1971-Q4,5.91
FRA,Q,1972-Q1,5.256667
FRA,Q,1972-Q2,5.14
FRA,Q,1972-Q3,4.786667
