LOCATION,FREQUENCY,TIME,Value
ISR,M,Jan-83,0.02462455
ISR,M,Feb-83,0.02678661
ISR,M,Mar-83,0.02925696
ISR,M,Apr-83,0.0303605
ISR,M,May-83,0.03094158
ISR,M,Jun-83,0.03268148
ISR,M,Jul-83,0.03370143
ISR,M,Aug-83,0.03488289
ISR,M,Sep-83,0.03720725
ISR,M,Oct-83,0.03995318
ISR,M,Nov-83,0.04523943
ISR,M,Dec-83,0.0490109
ISR,M,Jan-84,0.05145318
ISR,M,Feb-84,0.05902945
ISR,M,Mar-84,0.06557338
ISR,M,Apr-84,0.07180212
ISR,M,May-84,0.08051515
ISR,M,Jun-84,0.08921786
ISR,M,Jul-84,0.1016605
ISR,M,Aug-84,0.1165873
ISR,M,Sep-84,0.1298966
ISR,M,Oct-84,0.147844
ISR,M,Nov-84,0.173041
ISR,M,Dec-84,0.2029794
ISR,M,Jan-85,0.2441887
ISR,M,Feb-85,0.2731711
ISR,M,Mar-85,0.2952164
ISR,M,Apr-85,0.3281689
ISR,M,May-85,0.3698312
ISR,M,Jun-85,0.3988773
ISR,M,Jul-85,0.4476662
ISR,M,Aug-85,0.5174828
ISR,M,Sep-85,0.5872911
ISR,M,Oct-85,0.6722829
ISR,M,Nov-85,0.7490383
ISR,M,Dec-85,0.8333389
ISR,M,Jan-86,0.922654
ISR,M,Feb-86,1.01306
ISR,M,Mar-86,1.124791
ISR,M,Apr-86,1.290164
ISR,M,May-86,1.366737
ISR,M,Jun-86,1.373098
ISR,M,Jul-86,1.462877
ISR,M,Aug-86,1.554112
ISR,M,Sep-86,1.587597
ISR,M,Oct-86,1.669547
ISR,M,Nov-86,1.748541
ISR,M,Dec-86,1.796334
ISR,M,Jan-87,1.895334
ISR,M,Feb-87,1.961966
ISR,M,Mar-87,1.984621
ISR,M,Apr-87,2.067962
ISR,M,May-87,2.183838
ISR,M,Jun-87,2.286371
ISR,M,Jul-87,2.3881
ISR,M,Aug-87,2.455085
ISR,M,Sep-87,2.53096
ISR,M,Oct-87,2.580423
ISR,M,Nov-87,2.664656
ISR,M,Dec-87,2.770085
ISR,M,Jan-88,2.788334
ISR,M,Feb-88,2.819158
ISR,M,Mar-88,2.929672
ISR,M,Apr-88,2.981528
ISR,M,May-88,3.032335
ISR,M,Jun-88,3.156507
ISR,M,Jul-88,3.211013
ISR,M,Aug-88,3.233419
ISR,M,Sep-88,3.300289
ISR,M,Oct-88,3.372254
ISR,M,Nov-88,3.405401
ISR,M,Dec-88,3.313316
ISR,M,Jan-89,3.267655
ISR,M,Feb-89,3.43361
ISR,M,Mar-89,3.596458
ISR,M,Apr-89,3.686138
ISR,M,May-89,3.773674
ISR,M,Jun-89,3.854406
ISR,M,Jul-89,3.923384
ISR,M,Aug-89,4.037908
ISR,M,Sep-89,4.166226
ISR,M,Oct-89,4.293164
ISR,M,Nov-89,4.425114
ISR,M,Dec-89,4.45478
ISR,M,Jan-90,4.509487
ISR,M,Feb-90,4.591685
ISR,M,Mar-90,4.589058
ISR,M,Apr-90,4.630052
ISR,M,May-90,4.825622
ISR,M,Jun-90,4.895323
ISR,M,Jul-90,4.863576
ISR,M,Aug-90,5.160386
ISR,M,Sep-90,5.264104
ISR,M,Oct-90,5.321991
ISR,M,Nov-90,5.432877
ISR,M,Dec-90,5.544853
ISR,M,Jan-91,5.947358
ISR,M,Feb-91,6.177432
ISR,M,Mar-91,6.286282
ISR,M,Apr-91,6.294659
ISR,M,May-91,6.322484
ISR,M,Jun-91,6.429588
ISR,M,Jul-91,6.518368
ISR,M,Aug-91,6.599699
ISR,M,Sep-91,6.614636
ISR,M,Oct-91,6.634083
ISR,M,Nov-91,6.530184
ISR,M,Dec-91,6.491554
ISR,M,Jan-92,6.725699
ISR,M,Feb-92,7.03826
ISR,M,Mar-92,7.288801
ISR,M,Apr-92,7.485391
ISR,M,May-92,7.615009
ISR,M,Jun-92,7.793803
ISR,M,Jul-92,7.952881
ISR,M,Aug-92,7.978024
ISR,M,Sep-92,8.037628
ISR,M,Oct-92,8.251355
ISR,M,Nov-92,8.533096
ISR,M,Dec-92,8.748952
ISR,M,Jan-93,8.938453
ISR,M,Feb-93,9.076379
ISR,M,Mar-93,8.963919
ISR,M,Apr-93,8.86546
ISR,M,May-93,9.118526
ISR,M,Jun-93,9.29184
ISR,M,Jul-93,9.366047
ISR,M,Aug-93,9.615196
ISR,M,Sep-93,9.955173
ISR,M,Oct-93,10.3613
ISR,M,Nov-93,10.93971
ISR,M,Dec-93,11.25596
ISR,M,Jan-94,11.30423
ISR,M,Feb-94,11.52206
ISR,M,Mar-94,11.89173
ISR,M,Apr-94,11.7363
ISR,M,May-94,11.413
ISR,M,Jun-94,11.58189
ISR,M,Jul-94,11.81649
ISR,M,Aug-94,12.04282
ISR,M,Sep-94,12.10338
ISR,M,Oct-94,11.53819
ISR,M,Nov-94,10.992
ISR,M,Dec-94,11.02429
ISR,M,Jan-95,11.02856
ISR,M,Feb-95,11.01553
ISR,M,Mar-95,11.18442
ISR,M,Apr-95,11.36442
ISR,M,May-95,11.57826
ISR,M,Jun-95,11.91307
ISR,M,Jul-95,12.11697
ISR,M,Aug-95,12.26689
ISR,M,Sep-95,12.5819
ISR,M,Oct-95,12.78783
ISR,M,Nov-95,12.7638
ISR,M,Dec-95,12.81393
ISR,M,Jan-96,12.96455
ISR,M,Feb-96,13.19206
ISR,M,Mar-96,13.52685
ISR,M,Apr-96,13.69858
ISR,M,May-96,13.78754
ISR,M,Jun-96,13.96803
ISR,M,Jul-96,14.07576
ISR,M,Aug-96,14.10279
ISR,M,Sep-96,14.09834
ISR,M,Oct-96,14.20358
ISR,M,Nov-96,14.43725
ISR,M,Dec-96,14.53696
ISR,M,Jan-97,14.7708
ISR,M,Feb-97,15.21459
ISR,M,Mar-97,15.33734
ISR,M,Apr-97,15.3571
ISR,M,May-97,15.49198
ISR,M,Jun-97,15.66705
ISR,M,Jul-97,15.86922
ISR,M,Aug-97,16.05975
ISR,M,Sep-97,15.95817
ISR,M,Oct-97,16.1792
ISR,M,Nov-97,16.39422
ISR,M,Dec-97,16.3376
ISR,M,Jan-98,16.51178
ISR,M,Feb-98,16.60635
ISR,M,Mar-98,16.82286
ISR,M,Apr-98,16.99862
ISR,M,May-98,17.17342
ISR,M,Jun-98,17.34369
ISR,M,Jul-98,17.54875
ISR,M,Aug-98,17.81109
ISR,M,Sep-98,18.13134
ISR,M,Oct-98,18.78938
ISR,M,Nov-98,19.09515
ISR,M,Dec-98,18.68827
ISR,M,Jan-99,18.4718
ISR,M,Feb-99,18.41959
ISR,M,Mar-99,18.63939
ISR,M,Apr-99,18.73981
ISR,M,May-99,18.71845
ISR,M,Jun-99,19.02666
ISR,M,Jul-99,19.36176
ISR,M,Aug-99,19.64484
ISR,M,Sep-99,19.71912
ISR,M,Oct-99,19.86648
ISR,M,Nov-99,20.13832
ISR,M,Dec-99,20.68534
ISR,M,Jan-00,21.07875
ISR,M,Feb-00,20.88395
ISR,M,Mar-00,20.72116
ISR,M,Apr-00,20.85486
ISR,M,May-00,21.0366
ISR,M,Jun-00,21.31924
ISR,M,Jul-00,21.52349
ISR,M,Aug-00,21.60061
ISR,M,Sep-00,21.60868
ISR,M,Oct-00,21.99076
ISR,M,Nov-00,22.40671
ISR,M,Dec-00,22.56901
ISR,M,Jan-01,22.58177
ISR,M,Feb-01,22.6474
ISR,M,Mar-01,23.20268
ISR,M,Apr-01,23.50986
ISR,M,May-01,23.7094
ISR,M,Jun-01,24.13095
ISR,M,Jul-01,24.5783
ISR,M,Aug-01,25.04818
ISR,M,Sep-01,25.46768
ISR,M,Oct-01,25.93837
ISR,M,Nov-01,26.13011
