LOCATION,TIME,Value
AUS,1980,31.81
AUS,1981,35.88
AUS,1982,35.42
AUS,1983,30.88
AUS,1984,29.19
AUS,1985,28.17
AUS,1986,14.49
AUS,1987,19
AUS,1988,15.93
AUS,1989,17.63
AUS,1990,24.21
AUS,1991,20.7
AUS,1992,20.16
AUS,1993,17.91
AUS,1994,16.76
AUS,1995,18.53
AUS,1996,21.81
AUS,1997,21.78
AUS,1998,14.6
AUS,1999,18.38
AUS,2000,30.79
AUS,2001,26.61
AUS,2002,25.8
AUS,2003,31.24
AUS,2004,40.93
AUS,2005,56.71
AUS,2006,66.71
AUS,2007,77.13
AUS,2008,107.83
AUS,2009,63.4
AUS,2010,82.6
AUS,2011,115.66
AUS,2012,117.78
AUS,2013,114.19
AUS,2014,107.05
AUS,2015,57.9
AUT,1980,33.66
AUT,1981,37.8
AUT,1982,33.49
AUT,1983,30.66
AUT,1984,29.66
AUT,1985,28.74
AUT,1986,16.28
AUT,1987,18.81
AUT,1988,16.21
AUT,1989,19.1
AUT,1990,24.58
AUT,1991,22.55
AUT,1992,20.35
AUT,1993,18.02
AUT,1994,16.99
AUT,1995,18.78
AUT,1996,22.06
AUT,1997,21.31
AUT,1998,14.34
AUT,1999,17.54
AUT,2000,29.39
AUT,2001,25.32
AUT,2002,24.64
AUT,2003,29.59
AUT,2004,38.21
AUT,2005,53.15
AUT,2006,64.44
AUT,2007,71.86
AUT,2008,103.05
AUT,2009,60.69
AUT,2010,80
AUT,2011,110.92
AUT,2012,112.5
AUT,2013,110.63
AUT,2014,103.81
AUT,2015,55.52
BEL,1980,29.93
BEL,1981,33.86
BEL,1982,33.58
BEL,1983,29.8
BEL,1984,28.99
BEL,1985,27.47
BEL,1986,14.19
BEL,1987,17.78
BEL,1988,14.85
BEL,1989,17.3
BEL,1990,21.11
BEL,1991,19.36
BEL,1992,18.13
BEL,1993,15.84
BEL,1994,15.41
BEL,1995,16.94
BEL,1996,20.53
BEL,1997,18.65
BEL,1998,11.97
BEL,1999,17.33
BEL,2000,27.87
BEL,2001,24.2
BEL,2002,24.35
BEL,2003,27.72
BEL,2004,35.35
BEL,2005,50.06
BEL,2006,61.06
BEL,2007,70.35
BEL,2008,96.01
BEL,2009,61.77
BEL,2010,79.65
BEL,2011,110.5
BEL,2012,110.83
BEL,2013,108.45
BEL,2014,98.49
BEL,2015,51.65
CAN,1980,30.21
CAN,1981,35.28
CAN,1982,33.29
CAN,1983,29.49
CAN,1984,28.75
CAN,1985,27.85
CAN,1986,16
CAN,1987,18.59
CAN,1988,15.48
CAN,1989,18.56
CAN,1990,24.15
CAN,1991,20.83
CAN,1992,19.46
CAN,1993,17.19
CAN,1994,16.3
CAN,1995,17.76
CAN,1996,21.26
CAN,1997,20.59
CAN,1998,13.15
CAN,1999,17.85
CAN,2000,29.1
CAN,2001,24.87
CAN,2002,24.97
CAN,2003,29.53
CAN,2004,38.13
CAN,2005,52.37
CAN,2006,64.33
CAN,2007,70.04
CAN,2008,101.41
CAN,2009,60.29
CAN,2010,79.14
CAN,2011,110.8
CAN,2012,110.61
CAN,2013,108.6
CAN,2014,98.6
CAN,2015,53.48
CZE,1980,
CZE,1981,
CZE,1982,
CZE,1983,
CZE,1984,
CZE,1985,
CZE,1986,
CZE,1987,
CZE,1988,
CZE,1989,
CZE,1990,
CZE,1991,
CZE,1992,17.75
CZE,1993,14.83
CZE,1994,14.32
CZE,1995,15.6
CZE,1996,
CZE,1997,
CZE,1998,
CZE,1999,
CZE,2000,26.59
CZE,2001,23.74
CZE,2002,23.37
CZE,2003,28.13
CZE,2004,34.82
CZE,2005,51.28
CZE,2006,62.05
CZE,2007,68.54
CZE,2008,97.71
CZE,2009,60.77
CZE,2010,79.04
CZE,2011,110.42
CZE,2012,112.33
CZE,2013,110.26
CZE,2014,102.13
CZE,2015,54.91
DNK,1980,33.56
DNK,1981,36.68
DNK,1982,33.4
DNK,1983,29.9
DNK,1984,29
DNK,1985,28.3
DNK,1986,15.83
DNK,1987,17.84
DNK,1988,14.82
DNK,1989,17.16
DNK,1990,23.18
DNK,1991,20.68
DNK,1992,19.55
DNK,1993,17.17
DNK,1994,16.12
DNK,1995,17.49
DNK,1996,21.25
DNK,1997,20.15
DNK,1998,13.49
DNK,1999,17.71
DNK,2000,29.66
DNK,2001,24.82
DNK,2002,24.88
DNK,2003,29.68
DNK,2004,38.78
DNK,2005,54.4
DNK,2006,66.92
DNK,2007,74.94
DNK,2008,96.48
DNK,2009,62.87
DNK,2010,80.4
DNK,2011,112.77
DNK,2012,107.9
DNK,2013,107.25
DNK,2014,100.19
DNK,2015,52.43
FIN,1980,
FIN,1981,
FIN,1982,
FIN,1983,
FIN,1984,
FIN,1985,
FIN,1986,
FIN,1987,
FIN,1988,
FIN,1989,
FIN,1990,
FIN,1991,
FIN,1992,20.29
FIN,1993,17.86
FIN,1994,16.78
FIN,1995,17.83
FIN,1996,21.69
FIN,1997,19.44
FIN,1998,12.8
FIN,1999,18.31
FIN,2000,28.13
FIN,2001,23.49
FIN,2002,24.51
FIN,2003,27.72
FIN,2004,36.09
FIN,2005,51.12
FIN,2006,63.37
FIN,2007,70.48
FIN,2008,94.79
FIN,2009,61.01
FIN,2010,79.1
FIN,2011,109.23
FIN,2012,110.47
FIN,2013,107.57
FIN,2014,97.53
FIN,2015,49.28
FRA,1980,
FRA,1981,
FRA,1982,
FRA,1983,
FRA,1984,
FRA,1985,
FRA,1986,
FRA,1987,
FRA,1988,
FRA,1989,
FRA,1990,
FRA,1991,
FRA,1992,18.94
FRA,1993,16.05
FRA,1994,15.76
FRA,1995,17.14
FRA,1996,20.82
FRA,1997,18.99
FRA,1998,12.43
FRA,1999,17.45
FRA,2000,28.18
FRA,2001,24.13
FRA,2002,24.63
FRA,2003,28.87
FRA,2004,37.61
FRA,2005,52.74
FRA,2006,63.69
FRA,2007,72.22
FRA,2008,97.63
FRA,2009,61.64
FRA,2010,79.78
FRA,2011,111.78
FRA,2012,112.01
FRA,2013,109.56
FRA,2014,99.4
FRA,2015,53.14
