LOCATION,TIME,Value
AUS,1991,35.7075386
AUS,1993,22.83651733
AUS,1994,23.6249485
AUS,1995,24.69714165
AUS,1997,25.70216751
AUS,1998,28.13957787
AUS,1999,28.98158646
AUS,2000,31.37251663
AUS,2001,33.51193237
AUS,2002,35.79733658
AUS,2003,36.32281494
AUS,2004,36.16824722
AUS,2005,38.09831238
AUS,2006,38.80412292
AUS,2007,40.72885513
AUS,2008,41.99682999
AUS,2009,44.77848816
AUS,2010,44.37483597
AUS,2011,44.61552811
AUS,2012,47.2310791
AUS,2013,45.74518204
AUS,2014,48.13138962
AUS,2015,48.46627426
AUT,2004,30.47341347
AUT,2005,30.57097054
AUT,2006,31.51883316
AUT,2007,31.06587219
AUT,2008,32.6807251
AUT,2009,33.40867615
AUT,2010,33.8637886
AUT,2011,34.80836105
AUT,2012,36.12783432
AUT,2013,38.66609192
AUT,2014,38.40314865
AUT,2015,38.62684631
BEL,1991,26.81628227
BEL,1992,27.19247246
BEL,1994,30.0330162
BEL,1995,32.94189072
BEL,2000,36.0206337
BEL,2001,37.50611496
BEL,2002,37.64396667
BEL,2003,38.91021729
BEL,2004,40.73031616
BEL,2005,40.60590363
BEL,2006,41.86344147
BEL,2007,41.33903122
BEL,2008,42.27143478
BEL,2009,42.48425293
BEL,2010,43.80115891
BEL,2011,42.45568848
BEL,2012,42.9899025
BEL,2013,42.66314697
BEL,2014,44.23907852
BEL,2015,43.14431763
CAN,1981,30.57922554
CAN,1990,31.98946571
CAN,1991,32.07546997
CAN,1992,33.21055984
CAN,1993,34.48704529
CAN,1994,38.12329102
CAN,1995,40.44871902
CAN,1996,42.23913193
CAN,1997,44.16851425
CAN,1998,45.55580902
CAN,1999,46.98879623
CAN,2000,48.40009308
CAN,2001,50.85673523
CAN,2002,51.62901306
CAN,2003,53.17932892
CAN,2004,53.197052
CAN,2005,53.69493103
CAN,2006,54.62264252
CAN,2007,55.67466736
CAN,2008,55.61926651
CAN,2009,55.78047562
CAN,2010,56.16983795
CAN,2011,56.40130997
CAN,2012,57.05679703
CAN,2013,57.60339355
CAN,2014,57.72527695
CAN,2015,59.18283081
CZE,1994,12.47050381
CZE,1995,11.80133057
CZE,1997,10.85538197
CZE,1998,10.45576572
CZE,1999,10.94102478
CZE,2000,11.19905567
CZE,2001,11.27721024
CZE,2002,12.26702976
CZE,2003,12.05115891
CZE,2004,12.97849846
CZE,2005,14.23130894
CZE,2006,15.24641895
CZE,2007,15.47236252
CZE,2008,17.67483711
CZE,2009,20.24014091
CZE,2010,22.63035393
CZE,2011,25.12468338
CZE,2012,27.83243179
CZE,2013,29.19503593
CZE,2014,29.88735008
CZE,2015,31.01031113
DNK,1981,19.78883171
DNK,1988,19.31217003
DNK,1991,18.71428108
DNK,1992,19.46115112
DNK,1994,19.67998123
DNK,1995,21.6975956
DNK,1998,26.84832001
DNK,1999,28.63078308
DNK,2000,29.29552078
DNK,2001,31.06607628
DNK,2002,32.35992813
DNK,2003,35.009655
DNK,2004,37.59312057
DNK,2005,39.83181
DNK,2006,40.80807495
DNK,2007,36.18522263
DNK,2008,36.35712814
DNK,2009,37.61056519
DNK,2010,37.58207321
DNK,2011,38.5800972
DNK,2012,40.24404144
DNK,2013,41.24130249
DNK,2014,42.1306076
DNK,2015,44.47506714
FIN,1982,16.60561752
FIN,1991,20.59949875
FIN,1992,20.57536697
FIN,1994,21.64299202
FIN,1995,23.22255516
FIN,2000,38.67158508
FIN,2003,37.93461609
FIN,2004,38.17251205
FIN,2005,37.54172516
FIN,2006,38.4513855
FIN,2007,39.29724884
FIN,2008,38.28905487
FIN,2009,39.38808441
FIN,2010,39.20701218
FIN,2011,39.3772583
FIN,2012,39.74965668
FIN,2013,39.99277878
FIN,2014,40.30815125
FIN,2015,40.52489853
FRA,1981,15.12011433
FRA,1991,20.08235359
FRA,1992,21.56019974
FRA,1994,24.26559067
FRA,1995,25.39583015
FRA,1997,27.80718422
FRA,1998,29.64465714
FRA,1999,30.93767738
FRA,2000,31.37571144
FRA,2001,34.23252487
FRA,2002,36.05330276
FRA,2003,37.85517883
FRA,2004,38.22033691
FRA,2005,39.77622223
FRA,2006,41.41605759
FRA,2007,41.44432831
FRA,2008,40.82526398
FRA,2009,43.14989471
FRA,2010,42.87174988
FRA,2011,42.98827744
FRA,2012,42.9099884
FRA,2013,44.05572128
FRA,2014,44.72628784
DEU,1991,21.16248322
DEU,1992,20.4521656
DEU,1994,20.33835793
DEU,1995,21.27415276
DEU,1997,21.04030418
DEU,1998,21.5455246
DEU,1999,21.52826309
DEU,2000,22.25097084
DEU,2001,21.77952385
DEU,2002,21.73956108
DEU,2003,21.79973412
DEU,2004,22.94275093
DEU,2005,22.49461555
DEU,2006,21.98399734
DEU,2007,22.62181854
DEU,2008,23.91687202
DEU,2009,25.65530014
DEU,2010,26.13396072
DEU,2011,27.67140961
DEU,2012,28.95632935
DEU,2013,29.99525452
DEU,2014,28.42280197
DEU,2015,29.58866692
GRC,1987,13.9291811
GRC,1988,15.32361126
GRC,1990,17.07906914
GRC,1991,17.83276367
