"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Albania";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"1007.22";""
"Albania";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"1167";""
"Albania";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"920.07";""
"Albania";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"597.81";""
"Albania";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"586.47";""
"Albania";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"221.23";""
"Albania";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"240.2";""
"Albania";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"244";""
"Albania";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"63";""
"Albania";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"0";""
"Albania";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"0";""
"Algeria";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"23550";""
"Algeria";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"28130";""
"Algeria";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"31881";""
"Algeria";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"32424";""
"Algeria";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"32974";""
"Algeria";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"34731";""
"Algeria";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"39179";""
"Algeria";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"43248";""
"Algeria";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"43954";""
"Algeria";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"44940";""
"Algeria";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"41280";""
"Algeria";"Conventional crude oil - exports";"2003";"Metric tons,  thousand";"33725";""
"Algeria";"Conventional crude oil - exports";"2002";"Metric tons,  thousand";"25420";""
"Algeria";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"19583";""
"Algeria";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"20561";""
"Algeria";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"19289";""
"Algeria";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"19294";""
"Algeria";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"17280";""
"Algeria";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"18171";""
"Algeria";"Conventional crude oil - exports";"1995";"Metric tons,  thousand";"15417";""
"Algeria";"Conventional crude oil - exports";"1994";"Metric tons,  thousand";"15469";""
"Algeria";"Conventional crude oil - exports";"1993";"Metric tons,  thousand";"14289";""
"Algeria";"Conventional crude oil - exports";"1992";"Metric tons,  thousand";"15634";""
"Algeria";"Conventional crude oil - exports";"1991";"Metric tons,  thousand";"16182";""
"Algeria";"Conventional crude oil - exports";"1990";"Metric tons,  thousand";"14007";"1"
"Angola";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"81274";""
"Angola";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"83510";""
"Angola";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"83371";""
"Angola";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"78947";""
"Angola";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"85997";""
"Angola";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"88622";""
"Angola";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"92469";""
"Angola";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"82943";""
"Angola";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"67934";""
"Angola";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"60302";""
"Angola";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"47105";""
"Angola";"Conventional crude oil - exports";"2003";"Metric tons,  thousand";"41430";""
"Angola";"Conventional crude oil - exports";"2002";"Metric tons,  thousand";"42668";""
"Angola";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"34367";""
"Angola";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"34310";""
"Angola";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"34448";""
"Angola";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"34386";""
"Angola";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"32723";""
"Angola";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"30794";""
"Angola";"Conventional crude oil - exports";"1995";"Metric tons,  thousand";"28065";""
"Angola";"Conventional crude oil - exports";"1994";"Metric tons,  thousand";"25500";"1"
"Angola";"Conventional crude oil - exports";"1993";"Metric tons,  thousand";"23700";"1"
"Angola";"Conventional crude oil - exports";"1992";"Metric tons,  thousand";"25000";"1"
"Angola";"Conventional crude oil - exports";"1991";"Metric tons,  thousand";"23250";"1"
"Angola";"Conventional crude oil - exports";"1990";"Metric tons,  thousand";"22000";"1"
"Argentina";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"1979";""
"Argentina";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"1932";""
"Argentina";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"3080";""
"Argentina";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"3057";""
"Argentina";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"2861";""
"Argentina";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"4680";""
"Argentina";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"2835";""
"Argentina";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"2922";""
"Argentina";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"4495";""
"Argentina";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"7653";""
"Argentina";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"9013";""
"Argentina";"Conventional crude oil - exports";"2003";"Metric tons,  thousand";"11802";""
"Argentina";"Conventional crude oil - exports";"2002";"Metric tons,  thousand";"13683";""
"Argentina";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"14767";""
"Argentina";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"14249";""
"Argentina";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"13817";""
"Argentina";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"16496";""
"Argentina";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"17104";""
"Argentina";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"16691";""
"Argentina";"Conventional crude oil - exports";"1995";"Metric tons,  thousand";"13920";""
"Argentina";"Conventional crude oil - exports";"1994";"Metric tons,  thousand";"10467";""
"Argentina";"Conventional crude oil - exports";"1993";"Metric tons,  thousand";"4454";""
"Argentina";"Conventional crude oil - exports";"1992";"Metric tons,  thousand";"3042";"1"
"Argentina";"Conventional crude oil - exports";"1991";"Metric tons,  thousand";"1272";""
"Argentina";"Conventional crude oil - exports";"1990";"Metric tons,  thousand";"917";""
"Australia";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"11099";""
"Australia";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"11715";""
"Australia";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"13021";""
"Australia";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"14826";""
"Australia";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"13661";""
"Australia";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"12503";""
"Australia";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"11654";""
"Australia";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"11698";""
"Australia";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"9409";""
"Australia";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"11389";""
"Australia";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"12973";""
"Australia";"Conventional crude oil - exports";"2003";"Metric tons,  thousand";"15556";""
"Australia";"Conventional crude oil - exports";"2002";"Metric tons,  thousand";"19128";""
"Australia";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"19421";""
"Australia";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"15338";""
"Australia";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"9906";""
"Australia";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"10551";""
"Australia";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"8866";""
"Australia";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"8059";""
"Australia";"Conventional crude oil - exports";"1995";"Metric tons,  thousand";"8704";""
"Australia";"Conventional crude oil - exports";"1994";"Metric tons,  thousand";"7153";""
"Australia";"Conventional crude oil - exports";"1993";"Metric tons,  thousand";"7812";""
"Australia";"Conventional crude oil - exports";"1992";"Metric tons,  thousand";"7035";""
"Australia";"Conventional crude oil - exports";"1991";"Metric tons,  thousand";"7210";""
"Australia";"Conventional crude oil - exports";"1990";"Metric tons,  thousand";"5348";""
"Austria";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"63";""
"Austria";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"61";""
"Austria";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"51";""
"Austria";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"44";""
"Austria";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"25";""
"Austria";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"51";""
"Azerbaijan";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"32903";""
"Azerbaijan";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"34260";""
"Azerbaijan";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"34728";""
"Azerbaijan";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"37268";""
"Azerbaijan";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"42659";""
"Azerbaijan";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"44332";""
"Azerbaijan";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"36858";""
"Azerbaijan";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"34780";""
"Azerbaijan";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"24820";""
"Azerbaijan";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"14296";""
"Azerbaijan";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"9048";""
"Azerbaijan";"Conventional crude oil - exports";"2003";"Metric tons,  thousand";"8997";""
"Azerbaijan";"Conventional crude oil - exports";"2002";"Metric tons,  thousand";"8881";""
"Azerbaijan";"Conventional crude oil - exports";"2001";"Metric tons,  thousand";"8462";""
"Azerbaijan";"Conventional crude oil - exports";"2000";"Metric tons,  thousand";"5638";""
"Azerbaijan";"Conventional crude oil - exports";"1999";"Metric tons,  thousand";"5684";""
"Azerbaijan";"Conventional crude oil - exports";"1998";"Metric tons,  thousand";"1903";""
"Azerbaijan";"Conventional crude oil - exports";"1997";"Metric tons,  thousand";"233";""
"Azerbaijan";"Conventional crude oil - exports";"1996";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - exports";"1995";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - exports";"1994";"Metric tons,  thousand";"0";""
"Bahrain";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"7693";""
"Bahrain";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"7120";""
"Bahrain";"Conventional crude oil - exports";"2012";"Metric tons,  thousand";"6649";""
"Bahrain";"Conventional crude oil - exports";"2011";"Metric tons,  thousand";"7475";""
"Bahrain";"Conventional crude oil - exports";"2010";"Metric tons,  thousand";"7524";""
"Bahrain";"Conventional crude oil - exports";"2009";"Metric tons,  thousand";"7579";""
"Bahrain";"Conventional crude oil - exports";"2008";"Metric tons,  thousand";"7442";""
"Bahrain";"Conventional crude oil - exports";"2007";"Metric tons,  thousand";"7369";""
"Bahrain";"Conventional crude oil - exports";"2006";"Metric tons,  thousand";"7393";""
"Bahrain";"Conventional crude oil - exports";"2005";"Metric tons,  thousand";"7496";""
"Bahrain";"Conventional crude oil - exports";"2004";"Metric tons,  thousand";"7510";""
"Bahrain";"Conventional crude oil - exports";"1990";"Metric tons,  thousand";"0";"1"
"Barbados";"Conventional crude oil - exports";"2014";"Metric tons,  thousand";"29";""
"Barbados";"Conventional crude oil - exports";"2013";"Metric tons,  thousand";"34.3";""
