"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Albania";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"0";""
"Albania";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"5";""
"Albania";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"6";""
"Albania";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"5";""
"Albania";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"0";""
"Albania";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"3";""
"Albania";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"5";""
"Albania";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"75";"1"
"Albania";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"150";"1"
"Albania";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"183";""
"Algeria";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"294";""
"Algeria";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"146";""
"Algeria";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"295";""
"Algeria";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"206";""
"Algeria";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"320";""
"Algeria";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"366";""
"Algeria";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"445";""
"Algeria";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"359";""
"Algeria";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"331";""
"Algeria";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"310";""
"Algeria";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"316";""
"Algeria";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"366";""
"Algeria";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"373";""
"Algeria";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"209";""
"Algeria";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"309";""
"Algeria";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"266";""
"Algeria";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"232";""
"Algeria";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"263";""
"Algeria";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"346";""
"Algeria";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"462";""
"Algeria";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"319";""
"Algeria";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"345";""
"Algeria";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"0";""
"Algeria";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"0";""
"Algeria";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"0";""
"Argentina";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"509";""
"Argentina";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"373";""
