"Country or Area";"Year";"Value";"Value Footnotes"
"Afghanistan";"2014";"2554678000";""
"Afghanistan";"2013";"2576820000";""
"Afghanistan";"2012";"2708631000";""
"Afghanistan";"2011";"2627442000";""
"Afghanistan";"2010";"2423336000";"2"
"Afghanistan";"2009";"2469925000";"3"
"Afghanistan";"2008";"2133805000";"3"
"Afghanistan";"2007";"2012885000";"3"
"Afghanistan";"2006";"969197000";"4"
"Albania";"2014";"8000121000";""
"Albania";"2013";"8430209000";""
"Albania";"2012";"7156672000";""
"Albania";"2011";"6227735000";""
"Albania";"2010";"5200642000";""
"Albania";"2009";"4310066000";""
"Albania";"2008";"4238095000";""
"Albania";"2007";"2897759000";""
"Albania";"2006";"2465359000";""
"Albania";"2005";"2101163000";""
"Albania";"2004";"1606136000";""
"Albania";"2003";"1552159000";""
"Albania";"2002";"1181526000";""
"Albania";"2001";"1154850000";""
"Albania";"2000";"1122296000";""
"Albania";"1999";"773092000";""
"Albania";"1998";"623593000";""
"Albania";"1997";"516477000";""
"Albania";"1996";"491993000";""
"Albania";"1995";"458850000";""
"Albania";"1994";"883105000";""
"Albania";"1993";"786034000";""
"Albania";"1992";"632621000";""
"Albania";"1991";"511485000";""
"Algeria";"2014";"5452993000";""
"Algeria";"2013";"5231264000";""
"Algeria";"2012";"5495347000";""
"Algeria";"2011";"6044782000";""
"Algeria";"2010";"7246004000";""
"Algeria";"2009";"7405467000";""
"Algeria";"2008";"6246392000";""
"Algeria";"2007";"6134509000";""
"Algeria";"2006";"5910801000";""
"Algeria";"2005";"17092402000";""
"Algeria";"2004";"22426650000";""
"Algeria";"2003";"23774850000";""
"Algeria";"2002";"23040224000";""
"Algeria";"2001";"22763886000";""
"Algeria";"2000";"25476934000";""
"Algeria";"1999";"28206784000";""
"Algeria";"1998";"30692715000";""
"Algeria";"1997";"30902557000";""
"Algeria";"1996";"33653884000";""
"Algeria";"1995";"33051926000";""
"Algeria";"1994";"30241912000";""
"Algeria";"1993";"26274671000";""
"Algeria";"1992";"27351220000";""
"Algeria";"1991";"28489946000";""
"Algeria";"1990";"28153909000";""
"Algeria";"1989";"27248120000";""
"Algeria";"1988";"26101338000";""
"Algeria";"1987";"24435167000";""
"Algeria";"1986";"22638664000";""
"Algeria";"1985";"18251976000";""
"Algeria";"1984";"15883460000";""
"Algeria";"1983";"16367460000";""
"Algeria";"1982";"17624189000";""
"Algeria";"1981";"18360310000";""
"Algeria";"1980";"19313420000";""
"Algeria";"1979";"18428221000";""
"Algeria";"1978";"15733603000";""
"Algeria";"1977";"10598950000";""
"Algeria";"1976";"6114380000";""
"Algeria";"1975";"4632813000";""
"Algeria";"1974";"3365978000";""
"Algeria";"1973";"2991380000";""
"Algeria";"1972";"1549797000";""
"Algeria";"1971";"1260811000";""
"Algeria";"1970";"939559000";""
"Angola";"2014";"28449577000";""
"Angola";"2013";"25003929000";""
"Angola";"2012";"21106468000";""
"Angola";"2011";"19298252000";""
"Angola";"2010";"16949092000";""
"Angola";"2009";"17014273000";""
"Angola";"2008";"15501573000";""
"Angola";"2007";"11931683000";""
"Angola";"2006";"9890494000";""
"Angola";"2005";"12223964000";""
"Angola";"2004";"9786141000";""
"Angola";"2003";"9099853000";""
"Angola";"2002";"9110398000";""
"Angola";"2001";"8776913000";""
"Angola";"2000";"9763470000";""
"Angola";"1999";"10673235000";""
"Angola";"1998";"10784075000";""
"Angola";"1997";"9948271000";""
"Angola";"1996";"10545818000";""
"Angola";"1995";"11500021000";""
"Angola";"1994";"11292746000";""
"Angola";"1993";"10584311000";""
"Angola";"1992";"10067610000";""
"Angola";"1991";"9002060000";""
"Angola";"1990";"8591990000";""
"Angola";"1989";"7288778000";""
"Argentina";"2005";"";"5"
"Armenia";"2014";"8550992000";""
"Armenia";"2013";"8677559000";""
"Armenia";"2012";"7637010000";""
"Armenia";"2011";"7407348000";""
"Armenia";"2010";"6304487000";""
"Armenia";"2009";"4932598000";""
"Armenia";"2008";"3609238000";""
"Armenia";"2007";"3078652000";""
"Armenia";"2006";"2136305000";""
"Armenia";"2005";"1968027000";""
"Armenia";"2004";"2106357000";""
"Armenia";"2003";"1994268000";""
"Armenia";"2002";"1711690000";""
"Armenia";"2001";"1401649000";""
"Armenia";"2000";"1009643000";""
"Armenia";"1999";"1022596000";""
"Armenia";"1998";"804243000";""
"Armenia";"1997";"638485000";""
"Armenia";"1996";"520544000";""
"Armenia";"1995";"370657000";""
"Armenia";"1994";"214330000";""
"Armenia";"1993";"133923000";""
"Azerbaijan";"2014";"11693019000";""
"Azerbaijan";"2013";"10294204000";""
"Azerbaijan";"2012";"9551438000";""
"Azerbaijan";"2011";"8084603000";""
"Azerbaijan";"2010";"7028983000";""
"Azerbaijan";"2009";"4754598000";""
"Azerbaijan";"2008";"4465748000";""
"Azerbaijan";"2007";"3728508000";""
"Azerbaijan";"2006";"2687517000";""
"Azerbaijan";"2005";"2118242000";""
"Azerbaijan";"2004";"2019786000";""
"Azerbaijan";"2003";"1876746000";""
"Azerbaijan";"2002";"1626957000";""
"Azerbaijan";"2001";"1459853000";""
"Azerbaijan";"2000";"1524261000";""
"Azerbaijan";"1999";"1266107000";""
"Azerbaijan";"1998";"705992000";""
