"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Afghanistan";"Natural gas (including LNG) - exports";"1992";"Terajoules";"0";""
"Afghanistan";"Natural gas (including LNG) - exports";"1991";"Terajoules";"0";"1"
"Afghanistan";"Natural gas (including LNG) - exports";"1990";"Terajoules";"0";"1"
"Algeria";"Natural gas (including LNG) - exports";"2014";"Terajoules";"1765448";""
"Algeria";"Natural gas (including LNG) - exports";"2013";"Terajoules";"1875080";""
"Algeria";"Natural gas (including LNG) - exports";"2012";"Terajoules";"2070772";""
"Algeria";"Natural gas (including LNG) - exports";"2011";"Terajoules";"2084557";""
"Algeria";"Natural gas (including LNG) - exports";"2010";"Terajoules";"2263145";""
"Algeria";"Natural gas (including LNG) - exports";"2009";"Terajoules";"2182707";""
"Algeria";"Natural gas (including LNG) - exports";"2008";"Terajoules";"2384786";""
"Algeria";"Natural gas (including LNG) - exports";"2007";"Terajoules";"2385739";""
"Algeria";"Natural gas (including LNG) - exports";"2006";"Terajoules";"2457457";""
"Algeria";"Natural gas (including LNG) - exports";"2005";"Terajoules";"2341995";""
"Algeria";"Natural gas (including LNG) - exports";"2004";"Terajoules";"2378557.0015";""
"Algeria";"Natural gas (including LNG) - exports";"2003";"Terajoules";"2353417.999292";""
"Algeria";"Natural gas (including LNG) - exports";"2002";"Terajoules";"2306043.0012";""
"Algeria";"Natural gas (including LNG) - exports";"2001";"Terajoules";"2234390";""
"Algeria";"Natural gas (including LNG) - exports";"2000";"Terajoules";"2467920";""
"Algeria";"Natural gas (including LNG) - exports";"1999";"Terajoules";"2314726";""
"Algeria";"Natural gas (including LNG) - exports";"1998";"Terajoules";"2045038";""
"Algeria";"Natural gas (including LNG) - exports";"1997";"Terajoules";"2162030";""
"Algeria";"Natural gas (including LNG) - exports";"1996";"Terajoules";"1590845";""
"Algeria";"Natural gas (including LNG) - exports";"1995";"Terajoules";"1471050";""
"Algeria";"Natural gas (including LNG) - exports";"1994";"Terajoules";"1236150";""
"Algeria";"Natural gas (including LNG) - exports";"1993";"Terajoules";"1367807";""
"Algeria";"Natural gas (including LNG) - exports";"1992";"Terajoules";"1389112";""
"Algeria";"Natural gas (including LNG) - exports";"1991";"Terajoules";"1322390";""
"Algeria";"Natural gas (including LNG) - exports";"1990";"Terajoules";"1222500";""
"Angola";"Natural gas (including LNG) - exports";"2014";"Terajoules";"16340";""
"Angola";"Natural gas (including LNG) - exports";"2013";"Terajoules";"19760";""
"Angola";"Natural gas (including LNG) - exports";"2012";"Terajoules";"0";""
"Angola";"Natural gas (including LNG) - exports";"2011";"Terajoules";"0";""
"Angola";"Natural gas (including LNG) - exports";"2010";"Terajoules";"0";""
"Argentina";"Natural gas (including LNG) - exports";"2014";"Terajoules";"2465";""
"Argentina";"Natural gas (including LNG) - exports";"2013";"Terajoules";"2805";""
"Argentina";"Natural gas (including LNG) - exports";"2012";"Terajoules";"4081";""
"Argentina";"Natural gas (including LNG) - exports";"2011";"Terajoules";"7795";""
"Argentina";"Natural gas (including LNG) - exports";"2010";"Terajoules";"18133";""
"Argentina";"Natural gas (including LNG) - exports";"2009";"Terajoules";"36768";""
"Argentina";"Natural gas (including LNG) - exports";"2008";"Terajoules";"41624";""
"Argentina";"Natural gas (including LNG) - exports";"2007";"Terajoules";"104741";""
"Argentina";"Natural gas (including LNG) - exports";"2006";"Terajoules";"245305";""
"Argentina";"Natural gas (including LNG) - exports";"2005";"Terajoules";"258699";""
