"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Argentina";"Natural gas (including LNG) - imports";"2014";"Terajoules";"453541";""
"Argentina";"Natural gas (including LNG) - imports";"2013";"Terajoules";"398751";""
"Argentina";"Natural gas (including LNG) - imports";"2012";"Terajoules";"353589";""
"Argentina";"Natural gas (including LNG) - imports";"2011";"Terajoules";"266132";""
"Argentina";"Natural gas (including LNG) - imports";"2010";"Terajoules";"139777";""
"Argentina";"Natural gas (including LNG) - imports";"2009";"Terajoules";"96366";""
"Argentina";"Natural gas (including LNG) - imports";"2008";"Terajoules";"52604";""
"Argentina";"Natural gas (including LNG) - imports";"2007";"Terajoules";"66263";""
"Argentina";"Natural gas (including LNG) - imports";"2006";"Terajoules";"71049";""
"Argentina";"Natural gas (including LNG) - imports";"2005";"Terajoules";"67634";""
"Argentina";"Natural gas (including LNG) - imports";"2004";"Terajoules";"71022";""
"Argentina";"Natural gas (including LNG) - imports";"2003";"Terajoules";"3539";""
"Argentina";"Natural gas (including LNG) - imports";"2002";"Terajoules";"3923";""
"Argentina";"Natural gas (including LNG) - imports";"2001";"Terajoules";"0";""
"Argentina";"Natural gas (including LNG) - imports";"2000";"Terajoules";"16388.4";""
"Argentina";"Natural gas (including LNG) - imports";"1999";"Terajoules";"16354";""
"Argentina";"Natural gas (including LNG) - imports";"1998";"Terajoules";"66412.04";""
"Argentina";"Natural gas (including LNG) - imports";"1997";"Terajoules";"82722.4";""
"Argentina";"Natural gas (including LNG) - imports";"1996";"Terajoules";"85584";""
"Argentina";"Natural gas (including LNG) - imports";"1995";"Terajoules";"89088";""
"Argentina";"Natural gas (including LNG) - imports";"1994";"Terajoules";"94345";""
"Argentina";"Natural gas (including LNG) - imports";"1993";"Terajoules";"66738";""
"Argentina";"Natural gas (including LNG) - imports";"1992";"Terajoules";"82755";"1"
"Argentina";"Natural gas (including LNG) - imports";"1991";"Terajoules";"75554";""
"Argentina";"Natural gas (including LNG) - imports";"1990";"Terajoules";"85260";""
"Armenia";"Natural gas (including LNG) - imports";"2014";"Terajoules";"91294.7038";""
"Armenia";"Natural gas (including LNG) - imports";"2013";"Terajoules";"91953.41";""
"Armenia";"Natural gas (including LNG) - imports";"2012";"Terajoules";"95531.6024";""
"Armenia";"Natural gas (including LNG) - imports";"2011";"Terajoules";"80468.716";""
"Armenia";"Natural gas (including LNG) - imports";"2010";"Terajoules";"63761.0008";"1"
"Armenia";"Natural gas (including LNG) - imports";"2009";"Terajoules";"65601.0009";""
"Armenia";"Natural gas (including LNG) - imports";"2008";"Terajoules";"84975.0015";""
"Armenia";"Natural gas (including LNG) - imports";"2007";"Terajoules";"77436";""
"Armenia";"Natural gas (including LNG) - imports";"2006";"Terajoules";"64693";""
"Armenia";"Natural gas (including LNG) - imports";"2005";"Terajoules";"63525";""
"Armenia";"Natural gas (including LNG) - imports";"2004";"Terajoules";"50781.9996";""
"Armenia";"Natural gas (including LNG) - imports";"2003";"Terajoules";"45278";""
"Armenia";"Natural gas (including LNG) - imports";"2002";"Terajoules";"40716";""
"Armenia";"Natural gas (including LNG) - imports";"2001";"Terajoules";"53082";""
"Armenia";"Natural gas (including LNG) - imports";"2000";"Terajoules";"52116";""
"Armenia";"Natural gas (including LNG) - imports";"1999";"Terajoules";"46239";""
"Armenia";"Natural gas (including LNG) - imports";"1998";"Terajoules";"56739";""
"Armenia";"Natural gas (including LNG) - imports";"1997";"Terajoules";"54477";""
"Armenia";"Natural gas (including LNG) - imports";"1996";"Terajoules";"41470";""
"Armenia";"Natural gas (including LNG) - imports";"1995";"Terajoules";"53200";""
"Armenia";"Natural gas (including LNG) - imports";"1994";"Terajoules";"32870";""
"Armenia";"Natural gas (including LNG) - imports";"1993";"Terajoules";"30628";""
"Armenia";"Natural gas (including LNG) - imports";"1992";"Terajoules";"70680";""
"Australia";"Natural gas (including LNG) - imports";"2014";"Terajoules";"277519";""
"Australia";"Natural gas (including LNG) - imports";"2013";"Terajoules";"260670";""
"Australia";"Natural gas (including LNG) - imports";"2012";"Terajoules";"232449";""
"Australia";"Natural gas (including LNG) - imports";"2011";"Terajoules";"261044";""
"Australia";"Natural gas (including LNG) - imports";"2010";"Terajoules";"225728";""
"Australia";"Natural gas (including LNG) - imports";"2009";"Terajoules";"258493";""
"Australia";"Natural gas (including LNG) - imports";"2008";"Terajoules";"219330";""
"Australia";"Natural gas (including LNG) - imports";"2007";"Terajoules";"232184";""
"Australia";"Natural gas (including LNG) - imports";"2006";"Terajoules";"51820";""
"Australia";"Natural gas (including LNG) - imports";"2005";"Terajoules";"0";""
"Australia";"Natural gas (including LNG) - imports";"2004";"Terajoules";"894";""
"Australia";"Natural gas (including LNG) - imports";"2003";"Terajoules";"2609";""
"Austria";"Natural gas (including LNG) - imports";"2014";"Terajoules";"386748";""
"Austria";"Natural gas (including LNG) - imports";"2013";"Terajoules";"396671";""
"Austria";"Natural gas (including LNG) - imports";"2012";"Terajoules";"541128";""
"Austria";"Natural gas (including LNG) - imports";"2011";"Terajoules";"510953";""
"Austria";"Natural gas (including LNG) - imports";"2010";"Terajoules";"474049";""
"Austria";"Natural gas (including LNG) - imports";"2009";"Terajoules";"407906";""
"Austria";"Natural gas (including LNG) - imports";"2008";"Terajoules";"386405";""
"Austria";"Natural gas (including LNG) - imports";"2007";"Terajoules";"379606";""
"Austria";"Natural gas (including LNG) - imports";"2006";"Terajoules";"409720";""
"Austria";"Natural gas (including LNG) - imports";"2005";"Terajoules";"373543";""
"Austria";"Natural gas (including LNG) - imports";"2004";"Terajoules";"339684";""
"Austria";"Natural gas (including LNG) - imports";"2003";"Terajoules";"325261";""
"Austria";"Natural gas (including LNG) - imports";"2002";"Terajoules";"260885";""
"Austria";"Natural gas (including LNG) - imports";"2001";"Terajoules";"250658";""
"Austria";"Natural gas (including LNG) - imports";"2000";"Terajoules";"247538";""
"Austria";"Natural gas (including LNG) - imports";"1999";"Terajoules";"241433";""
"Austria";"Natural gas (including LNG) - imports";"1998";"Terajoules";"246410";""
"Austria";"Natural gas (including LNG) - imports";"1997";"Terajoules";"238603";""
"Austria";"Natural gas (including LNG) - imports";"1996";"Terajoules";"260237";""
"Austria";"Natural gas (including LNG) - imports";"1995";"Terajoules";"252025";""
"Austria";"Natural gas (including LNG) - imports";"1994";"Terajoules";"197373";""
"Austria";"Natural gas (including LNG) - imports";"1993";"Terajoules";"213067";""
"Austria";"Natural gas (including LNG) - imports";"1992";"Terajoules";"202231";""
"Austria";"Natural gas (including LNG) - imports";"1991";"Terajoules";"202552";""
"Austria";"Natural gas (including LNG) - imports";"1990";"Terajoules";"206709";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2006";"Terajoules";"172898";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2005";"Terajoules";"176549";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2004";"Terajoules";"187218";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2003";"Terajoules";"153778";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2002";"Terajoules";"148350";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2001";"Terajoules";"125804";""
"Azerbaijan";"Natural gas (including LNG) - imports";"2000";"Terajoules";"10691";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1999";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1998";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1997";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1996";"Terajoules";"905";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1995";"Terajoules";"22394";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1994";"Terajoules";"98435";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1993";"Terajoules";"112120";""
"Azerbaijan";"Natural gas (including LNG) - imports";"1992";"Terajoules";"198490";""
"Belarus";"Natural gas (including LNG) - imports";"2014";"Terajoules";"774448";""
"Belarus";"Natural gas (including LNG) - imports";"2013";"Terajoules";"782482";""
"Belarus";"Natural gas (including LNG) - imports";"2012";"Terajoules";"782173";""
"Belarus";"Natural gas (including LNG) - imports";"2011";"Terajoules";"772363";""
"Belarus";"Natural gas (including LNG) - imports";"2010";"Terajoules";"833077";""
"Belarus";"Natural gas (including LNG) - imports";"2009";"Terajoules";"680404";""
"Belarus";"Natural gas (including LNG) - imports";"2008";"Terajoules";"813418";""
"Belarus";"Natural gas (including LNG) - imports";"2007";"Terajoules";"796579";""
"Belarus";"Natural gas (including LNG) - imports";"2006";"Terajoules";"802874";""
"Belarus";"Natural gas (including LNG) - imports";"2005";"Terajoules";"777075";""
"Belarus";"Natural gas (including LNG) - imports";"2004";"Terajoules";"758652";""
"Belarus";"Natural gas (including LNG) - imports";"2003";"Terajoules";"699560";""
"Belarus";"Natural gas (including LNG) - imports";"2002";"Terajoules";"678898";""
"Belarus";"Natural gas (including LNG) - imports";"2001";"Terajoules";"666847";""
"Belarus";"Natural gas (including LNG) - imports";"2000";"Terajoules";"661016";""
"Belarus";"Natural gas (including LNG) - imports";"1999";"Terajoules";"639773";""
"Belarus";"Natural gas (including LNG) - imports";"1998";"Terajoules";"618106";""
"Belarus";"Natural gas (including LNG) - imports";"1997";"Terajoules";"627260";""
"Belarus";"Natural gas (including LNG) - imports";"1996";"Terajoules";"554032";""
"Belarus";"Natural gas (including LNG) - imports";"1995";"Terajoules";"522594";""
"Belarus";"Natural gas (including LNG) - imports";"1994";"Terajoules";"552182";""
"Belarus";"Natural gas (including LNG) - imports";"1993";"Terajoules";"629735";""
"Belarus";"Natural gas (including LNG) - imports";"1992";"Terajoules";"677771";""
"Belgium";"Natural gas (including LNG) - imports";"2014";"Terajoules";"626763";""
"Belgium";"Natural gas (including LNG) - imports";"2013";"Terajoules";"709887";""
"Belgium";"Natural gas (including LNG) - imports";"2012";"Terajoules";"709209";""
"Belgium";"Natural gas (including LNG) - imports";"2011";"Terajoules";"829807";""
"Belgium";"Natural gas (including LNG) - imports";"2010";"Terajoules";"909253";""
"Belgium";"Natural gas (including LNG) - imports";"2009";"Terajoules";"836911";""
"Belgium";"Natural gas (including LNG) - imports";"2008";"Terajoules";"720653";""
"Belgium";"Natural gas (including LNG) - imports";"2007";"Terajoules";"693125";""
"Belgium";"Natural gas (including LNG) - imports";"2006";"Terajoules";"699213";""
"Belgium";"Natural gas (including LNG) - imports";"2005";"Terajoules";"689306";""
"Belgium";"Natural gas (including LNG) - imports";"2004";"Terajoules";"677290";""
"Belgium";"Natural gas (including LNG) - imports";"2003";"Terajoules";"662591";""
"Belgium";"Natural gas (including LNG) - imports";"2002";"Terajoules";"635134";""
"Belgium";"Natural gas (including LNG) - imports";"2001";"Terajoules";"610993";""
"Belgium";"Natural gas (including LNG) - imports";"2000";"Terajoules";"617685";""
"Belgium";"Natural gas (including LNG) - imports";"1999";"Terajoules";"627007";""
"Belgium";"Natural gas (including LNG) - imports";"1998";"Terajoules";"578325";""
"Belgium";"Natural gas (including LNG) - imports";"1997";"Terajoules";"524752";""
"Belgium";"Natural gas (including LNG) - imports";"1996";"Terajoules";"552602";""
"Belgium";"Natural gas (including LNG) - imports";"1995";"Terajoules";"484665";""
"Belgium";"Natural gas (including LNG) - imports";"1994";"Terajoules";"454803";""
"Belgium";"Natural gas (including LNG) - imports";"1993";"Terajoules";"440441";""
"Belgium";"Natural gas (including LNG) - imports";"1992";"Terajoules";"425078";""
"Belgium";"Natural gas (including LNG) - imports";"1991";"Terajoules";"402887";""
"Belgium";"Natural gas (including LNG) - imports";"1990";"Terajoules";"382255";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2014";"Terajoules";"7043";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2013";"Terajoules";"7572";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2012";"Terajoules";"9730";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2011";"Terajoules";"10564";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2010";"Terajoules";"9283";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2009";"Terajoules";"8849";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2008";"Terajoules";"15513";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2007";"Terajoules";"15632";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2006";"Terajoules";"14790";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2005";"Terajoules";"14058";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2004";"Terajoules";"11837";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2003";"Terajoules";"7511";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2002";"Terajoules";"5745";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2001";"Terajoules";"6074";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"2000";"Terajoules";"9281";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1999";"Terajoules";"6700";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1998";"Terajoules";"6571";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1997";"Terajoules";"5763";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1996";"Terajoules";"9606";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1995";"Terajoules";"5726";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1994";"Terajoules";"6539";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1993";"Terajoules";"5473";""
"Bosnia and Herzegovina";"Natural gas (including LNG) - imports";"1992";"Terajoules";"16000";""
"Brazil";"Natural gas (including LNG) - imports";"2014";"Terajoules";"748204";""
"Brazil";"Natural gas (including LNG) - imports";"2013";"Terajoules";"656887";""
"Brazil";"Natural gas (including LNG) - imports";"2012";"Terajoules";"510593";""
"Brazil";"Natural gas (including LNG) - imports";"2011";"Terajoules";"405917";""
"Brazil";"Natural gas (including LNG) - imports";"2010";"Terajoules";"489800";""
"Brazil";"Natural gas (including LNG) - imports";"2009";"Terajoules";"323991";""
"Brazil";"Natural gas (including LNG) - imports";"2008";"Terajoules";"439482";""
"Brazil";"Natural gas (including LNG) - imports";"2007";"Terajoules";"400215";""
"Brazil";"Natural gas (including LNG) - imports";"2006";"Terajoules";"379109";""
"Brazil";"Natural gas (including LNG) - imports";"2005";"Terajoules";"348458";""
"Brazil";"Natural gas (including LNG) - imports";"2004";"Terajoules";"313155";""
"Brazil";"Natural gas (including LNG) - imports";"2003";"Terajoules";"195770";""
"Brazil";"Natural gas (including LNG) - imports";"2002";"Terajoules";"207931";""
"Brazil";"Natural gas (including LNG) - imports";"2001";"Terajoules";"178459";""
"Brazil";"Natural gas (including LNG) - imports";"2000";"Terajoules";"83885";""
"Brazil";"Natural gas (including LNG) - imports";"1999";"Terajoules";"15491";""
"Brazil";"Natural gas (including LNG) - imports";"1998";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1997";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1996";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1995";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1994";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1993";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1992";"Terajoules";"0";""
"Brazil";"Natural gas (including LNG) - imports";"1991";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1997";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1996";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1995";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1994";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1993";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1992";"Terajoules";"0";""
"Brunei Darussalam";"Natural gas (including LNG) - imports";"1991";"Terajoules";"0";""
"Bulgaria";"Natural gas (including LNG) - imports";"2014";"Terajoules";"103460";""
"Bulgaria";"Natural gas (including LNG) - imports";"2013";"Terajoules";"103540";""
"Bulgaria";"Natural gas (including LNG) - imports";"2012";"Terajoules";"95029";""
"Bulgaria";"Natural gas (including LNG) - imports";"2011";"Terajoules";"105337";""
"Bulgaria";"Natural gas (including LNG) - imports";"2010";"Terajoules";"99133";""
"Bulgaria";"Natural gas (including LNG) - imports";"2009";"Terajoules";"99130";""
"Bulgaria";"Natural gas (including LNG) - imports";"2008";"Terajoules";"130460";""
"Bulgaria";"Natural gas (including LNG) - imports";"2007";"Terajoules";"128088";""
"Bulgaria";"Natural gas (including LNG) - imports";"2006";"Terajoules";"121355";""
"Bulgaria";"Natural gas (including LNG) - imports";"2005";"Terajoules";"114340";""
"Bulgaria";"Natural gas (including LNG) - imports";"2004";"Terajoules";"111129";""
"Bulgaria";"Natural gas (including LNG) - imports";"2003";"Terajoules";"109593";""
"Bulgaria";"Natural gas (including LNG) - imports";"2002";"Terajoules";"116222";""
"Bulgaria";"Natural gas (including LNG) - imports";"2001";"Terajoules";"127044";""
"Bulgaria";"Natural gas (including LNG) - imports";"2000";"Terajoules";"127563";""
"Bulgaria";"Natural gas (including LNG) - imports";"1999";"Terajoules";"128240";""
"Bulgaria";"Natural gas (including LNG) - imports";"1998";"Terajoules";"145145";""
"Bulgaria";"Natural gas (including LNG) - imports";"1997";"Terajoules";"179192";""
"Bulgaria";"Natural gas (including LNG) - imports";"1996";"Terajoules";"220040";""
"Bulgaria";"Natural gas (including LNG) - imports";"1995";"Terajoules";"191032";""
"Bulgaria";"Natural gas (including LNG) - imports";"1994";"Terajoules";"156522";""
"Bulgaria";"Natural gas (including LNG) - imports";"1993";"Terajoules";"158121";""
"Bulgaria";"Natural gas (including LNG) - imports";"1992";"Terajoules";"170038";""
"Bulgaria";"Natural gas (including LNG) - imports";"1991";"Terajoules";"188305";""
"Bulgaria";"Natural gas (including LNG) - imports";"1990";"Terajoules";"227353";""
"Canada";"Natural gas (including LNG) - imports";"2014";"Terajoules";"837699";""
"Canada";"Natural gas (including LNG) - imports";"2013";"Terajoules";"1021945";""
"Canada";"Natural gas (including LNG) - imports";"2012";"Terajoules";"1213081";""
"Canada";"Natural gas (including LNG) - imports";"2011";"Terajoules";"1208073";""
"Canada";"Natural gas (including LNG) - imports";"2010";"Terajoules";"873198";""
"Canada";"Natural gas (including LNG) - imports";"2009";"Terajoules";"793914";""
"Canada";"Natural gas (including LNG) - imports";"2008";"Terajoules";"610324";""
"Canada";"Natural gas (including LNG) - imports";"2007";"Terajoules";"516444";""
"Canada";"Natural gas (including LNG) - imports";"2006";"Terajoules";"368567";""
"Canada";"Natural gas (including LNG) - imports";"2005";"Terajoules";"364392";""
"Canada";"Natural gas (including LNG) - imports";"2004";"Terajoules";"414979";""
"Canada";"Natural gas (including LNG) - imports";"2003";"Terajoules";"369794";""
"Canada";"Natural gas (including LNG) - imports";"2002";"Terajoules";"251548";""
"Canada";"Natural gas (including LNG) - imports";"2001";"Terajoules";"148953";""
"Canada";"Natural gas (including LNG) - imports";"2000";"Terajoules";"61823";""
"Canada";"Natural gas (including LNG) - imports";"1999";"Terajoules";"30658";""
"Canada";"Natural gas (including LNG) - imports";"1998";"Terajoules";"30226";""
"Canada";"Natural gas (including LNG) - imports";"1997";"Terajoules";"48394";""
"Canada";"Natural gas (including LNG) - imports";"1996";"Terajoules";"46389";""
"Canada";"Natural gas (including LNG) - imports";"1995";"Terajoules";"25670";""
"Canada";"Natural gas (including LNG) - imports";"1994";"Terajoules";"40031";""
"Canada";"Natural gas (including LNG) - imports";"1993";"Terajoules";"30895";""
"Canada";"Natural gas (including LNG) - imports";"1992";"Terajoules";"62838";""
"Canada";"Natural gas (including LNG) - imports";"1991";"Terajoules";"12070";""
"Canada";"Natural gas (including LNG) - imports";"1990";"Terajoules";"24220";""
"Chile";"Natural gas (including LNG) - imports";"2014";"Terajoules";"136813";""
"Chile";"Natural gas (including LNG) - imports";"2013";"Terajoules";"152036";""
"Chile";"Natural gas (including LNG) - imports";"2012";"Terajoules";"153170";""
"Chile";"Natural gas (including LNG) - imports";"2011";"Terajoules";"154754";""
"Chile";"Natural gas (including LNG) - imports";"2010";"Terajoules";"139900";""
"Chile";"Natural gas (including LNG) - imports";"2009";"Terajoules";"56980";""
"Chile";"Natural gas (including LNG) - imports";"2008";"Terajoules";"30491";""
"Chile";"Natural gas (including LNG) - imports";"2007";"Terajoules";"108772";""
"Chile";"Natural gas (including LNG) - imports";"2006";"Terajoules";"224428";""
"Chile";"Natural gas (including LNG) - imports";"2005";"Terajoules";"245404";""
"Chile";"Natural gas (including LNG) - imports";"2004";"Terajoules";"266016";""
"Chile";"Natural gas (including LNG) - imports";"2003";"Terajoules";"238163";""
"Chile";"Natural gas (including LNG) - imports";"2002";"Terajoules";"204666";""
"Chile";"Natural gas (including LNG) - imports";"2001";"Terajoules";"204235";""
"Chile";"Natural gas (including LNG) - imports";"2000";"Terajoules";"170800";""
"Chile";"Natural gas (including LNG) - imports";"1999";"Terajoules";"148166";""
"Chile";"Natural gas (including LNG) - imports";"1998";"Terajoules";"78360";""
"Chile";"Natural gas (including LNG) - imports";"1997";"Terajoules";"27499";""
