"Country or Area";"Year";"Value";"Value Footnotes"
"Afghanistan";"2014";"138.4757386362";""
"Afghanistan";"2013";"135.9150942926";""
"Afghanistan";"2012";"137.0147898649";""
"Afghanistan";"2011";"145.2391886649";""
"Afghanistan";"2010";"143.5900624397";"2"
"Afghanistan";"2009";"138.7710582931";"2"
"Afghanistan";"2008";"128.4665795731";"2"
"Afghanistan";"2007";"128.7292521939";"2"
"Afghanistan";"2006";"126.6433000686";"2"
"Afghanistan";"2005";"119.74570637";"2"
"Afghanistan";"2004";"121.5647052744";"2"
"Afghanistan";"2003";"111.9422452916";"2"
"Afghanistan";"2002";"115.5862087015";"2"
"Afghanistan";"2001";"116.15984007";"2"
"Afghanistan";"2000";"100";"2"
"Albania";"2014";"89.8460358945";""
"Albania";"2013";"92.2724519728";""
"Albania";"2012";"93.370505272";""
"Albania";"2011";"91.8231697796";""
"Albania";"2010";"91.8635194168";"2"
"Albania";"2009";"88.7324483616";"2"
"Albania";"2008";"88.8077418283";"2"
"Albania";"2007";"89.6657119415";"2"
"Albania";"2006";"91.0721585104";"2"
"Albania";"2005";"91.2771538151";"2"
"Albania";"2004";"92.3965209863";"2"
"Albania";"2003";"94.3145694835";"2"
"Albania";"2002";"98.7138707791";"2"
"Albania";"2001";"98.8561005046";"2"
"Albania";"2000";"100";"2"
"Algeria";"2014";"264.5231118791";""
"Algeria";"2013";"283.2325811632";""
"Algeria";"2012";"290.9034635697";""
"Algeria";"2011";"262.5226378556";""
"Algeria";"2010";"225.0760125313";"2"
"Algeria";"2009";"171.2309049181";"2"
"Algeria";"2008";"231.4292699283";"2"
"Algeria";"2007";"189.5236718712";"2"
"Algeria";"2006";"190.1892510525";"2"
"Algeria";"2005";"165.0610263057";"2"
"Algeria";"2004";"129.7084035074";"2"
"Algeria";"2003";"116.0340263615";"2"
"Algeria";"2002";"101.3521699647";"2"
"Algeria";"2001";"103.9153439153";"2"
"Algeria";"2000";"100";"2"
"Algeria";"1999";"59.4339622642";"2"
"Algeria";"1998";"50.9259259259";"2"
"Algeria";"1997";"70.7547169811";"2"
"Algeria";"1996";"67.5438596491";"2"
"Algeria";"1995";"57.8947368421";"2"
"Algeria";"1994";"57.4074074074";"2"
"Algeria";"1993";"58.5585585586";"2"
"Algeria";"1992";"70.5882352941";"2"
"Algeria";"1991";"81.1881188119";"2"
"Algeria";"1990";"73.9495798319";"2"
"Algeria";"1989";"59.0909090909";"2"
"Algeria";"1988";"57.4074074074";"2"
"Algeria";"1987";"63.1067961165";"2"
"Algeria";"1986";"67.0454545455";"2"
"Algeria";"1985";"136.1111111111";"2"
"Algeria";"1984";"139.7260273973";"2"
"Algeria";"1983";"168.253968254";"2"
"Algeria";"1982";"165.7142857143";"2"
"Algeria";"1981";"194.4444444444";"2"
"Algeria";"1980";"168.3544303797";"2"
"American Samoa";"2014";"137.3083102109";""
"American Samoa";"2013";"137.7306795192";""
"American Samoa";"2012";"137.2745736615";""
"American Samoa";"2011";"136.2595377869";""
"American Samoa";"2010";"156.7067071312";"2"
"American Samoa";"2009";"152.9434765449";"2"
"American Samoa";"2008";"150.7633188851";"2"
"American Samoa";"2007";"170.7244612829";"2"
"American Samoa";"2006";"172.5833113234";"2"
"American Samoa";"2005";"107.3546377396";"2"
"American Samoa";"2004";"116.7638383587";"2"
"American Samoa";"2003";"113.1513176877";"2"
"American Samoa";"2002";"101.295268629";"2"
"American Samoa";"2001";"102.174294166";"2"
"American Samoa";"2000";"100";"2"
"Andorra";"2004";"95.0865527984";"2"
"Andorra";"2003";"98.9599586747";"2"
"Andorra";"2002";"100.7626920886";"2"
"Andorra";"2001";"99.6491463095";"2"
"Andorra";"2000";"100";"2"
"Angola";"2014";"239.8120718517";""
"Angola";"2013";"252.636246817";""
"Angola";"2012";"257.3388863648";""
"Angola";"2011";"253.524574808";""
"Angola";"2010";"200.8418085536";"2"
"Angola";"2009";"166.1917840747";"2"
"Angola";"2008";"240.3077547503";"2"
"Angola";"2007";"199.8290856956";"2"
"Angola";"2006";"189.2932815288";"2"
"Angola";"2005";"166.6673169017";"2"
"Angola";"2004";"121.6479841753";"2"
"Angola";"2003";"101.7262019568";"2"
"Angola";"2002";"92.4703516921";"2"
"Angola";"2001";"91.4672216441";"2"
"Angola";"2000";"100";"2"
"Angola";"1999";"60";"2"
